Account No,total_transactions,total_spent,median_transaction,mean_transaction,business_interactions,user_interactions,most_recent_transaction
116598243.0,318,21076.01,34.269999999999996,66.2767610062893,"['Xbox', 'Netflix', 'Starbucks', 'Tesco', 'JustEat', 'Gamestation', 'Fat Face', 'Topshop', 'Selfridges', 'Sainsbury Local', 'AMAZON', 'Etsy', 'Mojang Studios', 'Fitted Stitch', 'Reebok', 'Amazon', 'Deliveroo', 'Sports Direct', 'Matalan', 'Coop Local', 'Revella', 'Sainsbury', 'Boots', 'The Crown', 'Lloyds Pharmacy', 'Loosely Fitted', 'CeX', 'SquareOnix', 'Blizzard']",[],2023-12-06
117273481.0,547,26986.34,8.24,49.33517367458867,"['LBG', 'Amazon', 'Disney', 'The Works', 'Tesco', 'Coffee #1', 'Sainsbury', 'Etsy', 'Sports Direct', 'Hobby Lobby', 'Five Senses Art', 'Deliveroo', 'Starbucks', 'Topshop', 'Matalan', 'Loosely Fitted', 'Fat Face', 'Revella', 'Brilliant Brushes', 'Boots', 'Reebok', 'Coop Local', 'AMAZON', ""Blackwell's"", 'Lloyds Pharmacy', 'Sainsbury Local', 'JustEat']",[],2023-12-06
117308635.0,308,16111.15,30.995,52.308928571428574,"['Disney', 'PureGym', 'Blizzard', 'SquareOnix', 'Mojang Studios', 'Grand Union BJJ', 'Tesco', ""Blackwell's"", 'Stitch By Stitch', 'The Crown', 'The Works', 'Gamestation', 'Sports Direct', 'Hobby Lobby', 'Revella', 'Selfridges', 'Fitted Stitch', 'JustEat', 'CeX', 'Coop Local', 'Xbox', 'Amazon', 'Matalan', 'Topshop', 'Sainsbury Local', 'Fat Face', 'Etsy', 'AMAZON', 'Lloyds Pharmacy', 'Boots', 'Loosely Fitted', 'Deliveroo', 'Reebok', 'Sainsbury', 'Wool']",[],2023-12-05
119943495.0,133,7128.97,35.69,53.601278195488725,"['Blizzard', 'Xbox', 'SquareOnix', 'Mojang Studios', 'Disney', 'Amazon', ""Blackwell's"", 'Tesco', 'Coop Local', 'Sports Direct', 'Deliveroo', 'CeX', 'JustEat']",[352899149.0],2023-12-05
119993184.0,160,24054.7,27.105,150.34187500000002,"['LBG', 'PureGym', 'Disney', 'Xbox', 'SquareOnix', 'Blizzard', 'The Works', 'Tesco', 'Revella', 'Sports Direct', 'Gamestation', 'Fat Face', 'Topshop', 'Matalan', 'CeX', 'Mojang Studios', 'AMAZON', 'Fitted Stitch', 'Deliveroo', 'JustEat']",[384497904.0],2023-12-04
120634201.0,273,23335.65,22.6,85.47857142857143,"['Halifax', 'Netflix', 'Tesco', 'JustEat', ""Blackwell's"", 'Stitch By Stitch', 'Gamestation', 'Xbox', 'SquareOnix', 'Mojang Studios', 'Sainsbury', 'The Works', 'Loosely Fitted', 'Matalan', 'Topshop', 'Fat Face', 'Deliveroo', 'Blizzard', 'Hobby Lobby', 'Selfridges', 'Sainsbury Local', 'Boots', 'Fitted Stitch', 'Revella']",[],2023-12-06
121113546.0,138,7866.35,31.23,57.00253623188406,"['Disney', 'PureGym', 'Xbox', 'SquareOnix', 'Blizzard', 'Tesco', 'The Works', 'Coffee #1', 'Sports Direct', ""Blackwell's"", 'CeX', 'Topshop', 'Loosely Fitted', 'Mojang Studios', 'AMAZON', 'Fat Face', 'Matalan', 'Deliveroo', 'JustEat', 'Revella']",[],2023-12-02
121858569.0,181,40907.25,100.0,226.00690607734808,"['Halifax', 'Grand Union BJJ', 'SquareOnix', 'Gamestation', 'Tesco', 'Reebok', 'Xbox', 'Mojang Studios', 'Coffee #1', 'JustEat', 'Matalan', 'Blizzard', 'Deliveroo', 'Topshop']","[248658670.0, 791220575.0]",2023-12-03
122884111.0,145,18326.81,37.5,126.39179310344828,"['Halifax', 'PureGym', 'Grand Union BJJ', 'Disney', 'Netflix', 'The Works', 'Tesco', 'Sports Direct', 'Topshop', 'AMAZON', 'Deliveroo', 'Matalan', 'JustEat']",[924045955.0],2023-12-03
124102251.0,398,23017.96,25.924999999999997,57.83407035175879,"['Halifax', 'Netflix', 'PureGym', 'SquareOnix', 'Blizzard', 'Tesco', ""Blackwell's"", 'The Crown', 'Boots', 'Wool', 'Sports Direct', 'Fat Face', 'Topshop', 'Gamestation', 'Coffee #1', 'Coop Local', 'Mojang Studios', 'Xbox', 'Amazon', 'Starbucks', 'Fitted Stitch', 'Deliveroo', 'Revella', 'JustEat', 'Etsy', 'Selfridges', 'Hobby Lobby', 'Loosely Fitted', 'Matalan', 'Reebok', 'Sainsbury Local', 'AMAZON', 'Stitch By Stitch', 'Lloyds Pharmacy', 'Sainsbury']",[],2023-12-06
124125096.0,182,34396.84,39.185,188.99362637362634,"['PureGym', 'Netflix', 'Disney', 'SquareOnix', 'Mojang Studios', 'Blizzard', 'Tesco', 'Wool', 'Sports Direct', 'Gamestation', 'Stitch By Stitch', 'Topshop', 'JustEat', 'Hobby Lobby', 'AMAZON', 'Revella', 'Xbox', 'Hobbycraft', 'Loosely Fitted', 'Matalan', 'Deliveroo']",[514362267.0],2023-12-02
124377686.0,86,3899.8,28.28,45.34651162790698,"['PureGym', 'Disney', 'Netflix', 'Grand Union BJJ', 'Tesco', 'Wool', 'Five Senses Art', 'JustEat', 'Deliveroo']",[],2023-11-30
126929801.0,210,19518.41,48.894999999999996,92.94480952380952,"['Netflix', 'Disney', 'Xbox', 'SquareOnix', 'Grand Union BJJ', 'PureGym', 'Tesco', ""Blackwell's"", 'Gamestation', 'Sports Direct', 'Selfridges', 'CeX', 'Deliveroo', 'Wool', 'The Crown', 'Topshop', 'Matalan', 'Revella', 'Fat Face', 'AMAZON', 'Blizzard', 'Mojang Studios', 'Hobby Lobby', 'The Works', 'Loosely Fitted', 'Lloyds Pharmacy', 'Sainsbury Local', 'Fitted Stitch']",[971129830.0],2023-11-30
127809299.0,204,10701.24,40.644999999999996,52.45705882352941,"['SquareOnix', 'Netflix', 'PureGym', 'Loosely Fitted', 'Tesco', 'Fat Face', 'Topshop', 'Sports Direct', 'CeX', 'Mojang Studios', 'Selfridges', 'Xbox', 'Gamestation', 'Sainsbury', 'Reebok', 'Revella', 'Sainsbury Local', 'Boots', 'Blizzard', 'Amazon', 'Matalan', 'Etsy', 'JustEat']",[],2023-12-06
128030172.0,82,4525.34,44.94,55.18707317073171,"['Amazon', 'Netflix', 'The Works', 'Sainsbury', 'The Crown', 'Loosely Fitted', 'AMAZON', 'Deliveroo', 'JustEat']",[548638376.0],2023-12-02
128033695.0,412,17764.44,19.43,43.117572815533975,"['SquareOnix', 'Mojang Studios', 'Blizzard', 'Xbox', 'PureGym', 'Netflix', 'Disney', 'Revella', 'Fat Face', 'Tesco', 'Hobby Lobby', 'Gamestation', 'A Yarn Story', 'JD Sports', 'Brilliant Brushes', 'JustEat', 'Amazon', 'Wool', 'Five Senses Art', 'Sports Direct', 'Matalan', 'Topshop', 'Boots', 'Deliveroo', 'Fitted Stitch', 'Loosely Fitted', 'Sainsbury Local', 'Coop Local', 'AMAZON', 'Etsy', 'Lloyds Pharmacy', 'Sainsbury', 'Selfridges']",[722358036.0],2023-12-06
129018172.0,198,22929.09,29.99,115.80348484848484,"['LBG', 'Netflix', 'Mojang Studios', 'Xbox', 'PureGym', 'Tesco', 'Gamestation', 'Topshop', 'Matalan', 'Selfridges', 'Fitted Stitch', 'Sports Direct', ""Blackwell's"", 'Blizzard', 'SquareOnix', 'Lloyds Pharmacy', 'CeX', 'The Works', 'Sainsbury', 'Coop Local', 'Boots', 'Starbucks', 'Fat Face', 'Revella', 'Amazon', 'JustEat', 'AMAZON', 'Etsy']",[],2023-12-05
130154096.0,216,30991.45,33.455,143.47893518518518,"['LBG', 'Netflix', 'Blizzard', 'SquareOnix', 'Xbox', 'The Works', 'Gamestation', 'Brilliant Brushes', 'Tesco', 'Five Senses Art', 'Sainsbury', 'Fat Face', 'Mojang Studios', 'Hobby Lobby', 'AMAZON', 'Reebok', 'Revella', 'Topshop', 'Sainsbury Local', 'Matalan', 'Fitted Stitch', 'Sports Direct', 'JustEat', 'Etsy', 'Amazon', 'Deliveroo']",[799861885.0],2023-12-04
130522384.0,168,23261.06,49.99,138.4586904761905,"['LBG', 'PureGym', 'Netflix', 'The Works', 'Fat Face', 'Topshop', 'Tesco', 'Sports Direct', 'Gamestation', 'CeX', 'Revella', 'Reebok', 'JustEat', 'Loosely Fitted', 'Matalan', 'Xbox', 'Mojang Studios', 'AMAZON', 'Blizzard', 'Deliveroo', 'SquareOnix', ""Blackwell's""]",[213096759.0],2023-12-02
131388684.0,460,28334.42,26.925,61.5965652173913,"['Halifax', 'Netflix', 'Disney', 'PureGym', 'Xbox', 'Grand Union BJJ', ""Blackwell's"", 'The Crown', 'Starbucks', 'Tesco', 'Deliveroo', 'Sports Direct', 'Mojang Studios', 'SquareOnix', 'Blizzard', 'Selfridges', 'Fitted Stitch', 'Fat Face', 'Topshop', 'JustEat', 'Sainsbury', 'The Works', 'Revella', 'Matalan', 'Loosely Fitted', 'Amazon', 'Coop Local', 'Boots', 'Hobby Lobby', 'Five Senses Art', 'Etsy', 'Sainsbury Local', 'AMAZON', 'Lloyds Pharmacy', 'Mamas & Papas', 'Reebok', 'Coffee #1']",[],2023-12-05
132400709.0,109,5182.7,28.0,47.547706422018344,"['Blizzard', 'Netflix', 'Disney', 'Gamestation', 'Tesco', 'Sainsbury Local', 'Sports Direct', 'Revella', 'Xbox', 'SquareOnix', 'Deliveroo', 'JustEat', 'Mojang Studios']",[],2023-11-30
133755851.0,198,34923.34,35.644999999999996,176.38050505050504,"['LBG', 'Disney', 'Netflix', 'SquareOnix', 'Blizzard', 'Tesco', 'The Crown', 'Topshop', 'Matalan', 'Brilliant Brushes', 'Boots', 'Gamestation', 'Deliveroo', 'Sports Direct', 'CeX', 'Fat Face', 'Five Senses Art', 'Reebok', 'Amazon', 'Xbox', 'Fitted Stitch', 'JustEat', 'Sainsbury Local', 'Mojang Studios', 'Craftastic', 'Selfridges', 'Etsy']","[857455726.0, 214339619.0]",2023-12-05
134461671.0,230,36566.48,25.865000000000002,158.98469565217394,"['Halifax', 'Amazon', 'PureGym', 'Mojang Studios', 'Xbox', 'SquareOnix', 'Grand Union BJJ', 'The Works', 'Tesco', 'Deliveroo', 'Gamestation', 'Blizzard', 'Sports Direct', 'Matalan', 'Revella', 'JustEat', ""Blackwell's"", 'Fat Face', 'Topshop', 'Sainsbury Local', 'AMAZON', 'Coop Local', 'Loosely Fitted', 'Selfridges', 'Lloyds Pharmacy', 'Etsy', 'Sainsbury', 'Boots']",[575652395.0],2023-12-06
134847904.0,214,43921.62,38.565,205.24121495327105,"['Halifax', 'Netflix', 'Amazon', 'Mojang Studios', 'PureGym', 'Grand Union BJJ', ""Blackwell's"", 'Tesco', 'Five Senses Art', 'CeX', 'Hobby Lobby', 'Deliveroo', 'Sports Direct', 'Gamestation', 'Xbox', 'Blizzard', 'SquareOnix', 'Wool', 'JustEat', 'Revella', 'Matalan', 'Stitch By Stitch', 'The Works', 'AMAZON', 'Brilliant Brushes', 'Fat Face', 'Coop Local']",[414454079.0],2023-12-01
135937041.0,184,25445.88,59.0,138.29282608695652,"['LBG', 'Netflix', 'Amazon', 'Xbox', 'Mojang Studios', 'Tesco', 'Gamestation', 'JustEat', 'Craftastic', 'Sainsbury Local', 'Matalan', 'Topshop', 'Sainsbury', 'Deliveroo', 'SquareOnix', 'Blizzard']",[460463595.0],2023-12-05
136770968.0,159,7702.86,25.98,48.445660377358486,"['Xbox', 'Mojang Studios', 'SquareOnix', 'Netflix', 'PureGym', 'The Crown', 'Tesco', 'Sports Direct', 'Five Senses Art', 'Gamestation', 'CeX', 'Fat Face', 'Blizzard', 'Reebok', 'Deliveroo', 'Revella', 'JustEat']",[787139484.0],2023-12-05
137822385.0,321,29769.03,8.0,92.73841121495327,"['Halifax', 'Blizzard', 'Mojang Studios', 'Amazon', 'PureGym', 'The Works', 'The Crown', 'Sainsbury Local', 'Starbucks', 'Rose & Crown', 'Gamestation', 'Sports Direct', 'Selfridges', 'Fat Face', 'CeX', 'Tesco', 'Coffee #1', 'Costa Coffee', 'Lloyds Pharmacy', 'Xbox', 'Kings Arms', 'AMAZON', 'Revella', 'Matalan', 'Sainsbury', ""Blackwell's"", 'Boots', 'Fitted Stitch', 'SquareOnix', 'Etsy', 'Topshop']",[737537711.0],2023-12-06
137913631.0,199,28518.15,67.95,143.30728643216082,"['LBG', 'Netflix', 'PureGym', 'Tesco', 'Sports Direct', 'Topshop', 'Matalan', 'JustEat', 'Deliveroo', 'Fat Face', 'Revella']",[310620484.0],2023-12-05
138351025.0,147,18968.84,33.0,129.03972789115647,"['Halifax', 'Blizzard', 'Xbox', 'Netflix', 'PureGym', 'Tesco', 'Wool', 'Sports Direct', 'CeX', 'Mojang Studios', 'Gamestation', 'Hobby Lobby', 'Deliveroo', 'Fat Face', 'Topshop', 'SquareOnix', 'JustEat', 'Revella']",[248142083.0],2023-12-01
138609932.0,166,6756.78,23.94,40.70349397590361,"['Wool', 'Tesco', 'Topshop', 'Costa Coffee', 'JustEat', 'Sports Direct', 'Revella', 'Starbucks', 'Sainsbury Local', 'JD Sports', 'Hobby Lobby', 'Deliveroo', 'Fat Face']",[874431242.0],2023-12-05
138969884.0,116,19248.41,36.45,165.93456896551723,"['LBG', 'Netflix', 'Xbox', 'SquareOnix', 'PureGym', 'Tesco', 'JustEat', 'Deliveroo', 'Blizzard', 'Five Senses Art', 'Mojang Studios', 'A Yarn Story', 'Sports Direct']",[344843570.0],2023-12-05
140893085.0,154,15395.86,75.275,99.97311688311689,"['PureGym', 'Tesco', 'Sports Direct', 'The Crown', 'Matalan', 'Gamestation', 'Topshop', 'JD Sports', 'SquareOnix', 'JustEat', 'CeX', 'Revella', 'Xbox', 'Mojang Studios', 'Fat Face', 'Deliveroo', 'Blizzard']",[],2023-12-04
141521177.0,205,25658.11,59.64,125.16151219512196,"['Halifax', 'PureGym', 'Tesco', 'Sports Direct', 'JustEat', 'Fat Face', 'Topshop', 'Revella', 'Selfridges', 'Fitted Stitch', 'Deliveroo']",[],2023-12-03
142791593.0,149,20490.07,67.53,137.51724832214765,"['Halifax', 'PureGym', 'Netflix', 'Xbox', 'Grand Union BJJ', 'Starbucks', 'Tesco', 'Wool', 'Sports Direct', 'Revella', 'Fat Face', 'Topshop', 'Matalan', 'Hobby Lobby', 'Loosely Fitted', 'Gamestation', 'JustEat', 'SquareOnix', 'Blizzard', 'Coffee #1', 'Mojang Studios', 'Deliveroo']",[719742742.0],2023-12-05
143003091.0,230,21194.94,21.825,92.15191304347826,"['PureGym', 'Xbox', 'Mojang Studios', 'SquareOnix', 'Blizzard', 'Netflix', ""Blackwell's"", 'Five Senses Art', 'Deliveroo', 'Sports Direct', 'Coop Local', 'JustEat', 'Fat Face', 'Topshop', 'Gamestation', 'Fitted Stitch', 'Loosely Fitted', 'Revella', 'Lloyds Pharmacy', 'Amazon', 'Matalan', 'Tesco', 'Boots', 'Selfridges', 'AMAZON', 'Sainsbury Local', 'Sainsbury', 'Etsy', 'Hobby Lobby']",[478412511.0],2023-12-05
143061865.0,284,20141.18,29.99,70.91964788732395,"['Halifax', 'Netflix', 'Disney', 'SquareOnix', 'Blizzard', 'PureGym', 'Tesco', 'The Works', 'Xbox', 'Five Senses Art', 'Sports Direct', 'Gamestation', 'Deliveroo', 'Revella', 'JD Sports', ""Blackwell's"", 'Mojang Studios', 'Fat Face', 'Sainsbury', 'Boots', 'Fitted Stitch', 'Loosely Fitted', 'Topshop', 'JustEat', 'Coop Local', 'Matalan', 'Lloyds Pharmacy', 'Hobby Lobby', 'Amazon', 'Etsy', 'AMAZON', 'Selfridges', 'Sainsbury Local']",[],2023-12-06
143383029.0,126,8598.35,32.61,68.24087301587302,"['Netflix', 'Amazon', 'Blizzard', 'SquareOnix', 'Tesco', 'The Works', 'The Crown', 'JustEat', 'Gamestation', 'Loosely Fitted', 'Matalan', 'Sainsbury', 'Mojang Studios', 'Xbox', 'Topshop', 'Deliveroo']",[],2023-11-30
143606916.0,88,9991.82,93.985,113.5434090909091,"['PureGym', 'Tesco', 'Sports Direct', 'Selfridges', 'Topshop', 'Revella', 'Fat Face', 'JustEat', 'Deliveroo']",[],2023-11-30
145387690.0,528,21121.39,25.23,40.00263257575757,"['Netflix', 'Mojang Studios', 'Grand Union BJJ', ""Blackwell's"", 'Tesco', 'Gamestation', 'Topshop', 'Revella', 'JustEat', 'Sainsbury Local', 'Sports Direct', 'Coop Local', 'Fitted Stitch', 'Fat Face', 'AMAZON', 'Boots', 'Deliveroo', 'Sainsbury', 'The Works', 'Etsy', 'Amazon', 'Loosely Fitted', 'Blizzard', 'SquareOnix', 'Selfridges', 'Matalan', 'Lloyds Pharmacy', 'Xbox', 'Reebok']",[],2023-12-06
145553416.0,90,3437.89,18.99,38.19877777777778,"['Netflix', 'PureGym', 'Wool', 'Revella', 'Fat Face', 'Tesco', 'JustEat', 'Blizzard', 'SquareOnix', 'Deliveroo', 'Xbox', 'Mojang Studios']",[],2023-11-30
146686559.0,167,22598.98,33.64,135.32323353293413,"['Halifax', 'Netflix', 'Amazon', 'Grand Union BJJ', 'PureGym', ""Blackwell's"", 'Tesco', 'Loosely Fitted', 'Topshop', 'The Works', 'Hobby Lobby', 'Sports Direct', 'Five Senses Art', 'Etsy', 'Coop Local', 'JustEat', 'Brilliant Brushes', 'Deliveroo', 'Matalan']",[],2023-12-01
146909202.0,466,27102.71,18.99,58.160321888412014,"['Netflix', 'PureGym', 'Coffee #1', 'Tesco', 'Gamestation', 'Loosely Fitted', 'Matalan', 'Revella', 'Fat Face', 'Topshop', 'Hobbycraft', 'Starbucks', 'Sports Direct', 'Fitted Stitch', 'Selfridges', 'Deliveroo', 'SquareOnix', 'Blizzard', 'Wool', 'CeX', 'Amazon', 'AMAZON', 'Mojang Studios', 'Xbox', 'JustEat', 'Stitch By Stitch', 'Boots', 'Sainsbury Local', 'Etsy', 'Lloyds Pharmacy', 'Sainsbury', 'Coop Local']",[741269136.0],2023-12-06
147341222.0,154,8506.48,35.535,55.236883116883114,"['Netflix', 'Disney', 'PureGym', 'Grand Union BJJ', 'Blizzard', 'SquareOnix', 'Xbox', 'The Works', 'Tesco', 'Brilliant Brushes', 'The Crown', 'Sports Direct', ""Blackwell's"", 'Five Senses Art', 'Boots', 'Mojang Studios', 'Loosely Fitted', 'Revella', 'Fat Face', 'Coop Local', 'Deliveroo']",[],2023-11-30
147474476.0,244,34935.01,35.97,143.17627049180328,"['LBG', 'Amazon', 'PureGym', 'SquareOnix', 'Tesco', 'The Works', 'Coffee #1', 'Sports Direct', 'Coop Local', 'Fitted Stitch', 'Gamestation', 'Lloyds Pharmacy', 'Matalan', 'Topshop', 'Deliveroo', 'Mojang Studios', 'Blizzard', 'Fat Face', 'Sainsbury', 'Xbox', 'JustEat', ""Blackwell's"", 'Selfridges', 'Revella', 'Sainsbury Local', 'Loosely Fitted', 'Boots']",[538003940.0],2023-12-06
147508204.0,137,9881.21,35.53,72.1256204379562,"['Netflix', 'Disney', 'The Works', 'Tesco', 'Loosely Fitted', 'Matalan', 'Selfridges', 'Costa Coffee', 'AMAZON', 'Sainsbury', 'Sports Direct', 'Topshop', 'Deliveroo', ""Blackwell's"", 'Fat Face', 'JustEat']",[455052690.0],2023-12-01
149684419.0,219,14951.33,36.95,68.27091324200913,"['Netflix', 'Xbox', ""Blackwell's"", 'Tesco', 'Costa Coffee', 'Gamestation', 'Revella', 'Fat Face', 'The Crown', 'JD Sports', 'Mojang Studios', 'Blizzard', 'Deliveroo', 'Topshop', 'Matalan', 'Sports Direct', 'The Works', 'SquareOnix', 'JustEat', 'Starbucks']",[452974357.0],2023-12-05
151278285.0,180,32537.86,56.98,180.7658888888889,"['Halifax', 'Netflix', 'Xbox', 'Blizzard', 'PureGym', 'Tesco', 'Sports Direct', 'Gamestation', 'Sainsbury', 'Reebok', 'Revella', 'Fat Face', 'Matalan', 'Mojang Studios', 'SquareOnix', 'Deliveroo', 'JustEat', 'Topshop']",[264550521.0],2023-12-04
151916463.0,171,18890.65,56.99,110.4716374269006,"['PureGym', 'SquareOnix', 'Xbox', 'Mojang Studios', 'Sports Direct', 'Tesco', 'JustEat', 'Sainsbury Local', 'CeX', 'Gamestation', 'Fitted Stitch', 'Blizzard', 'Coop Local', 'Reebok', 'Amazon', 'Sainsbury', 'Matalan', 'Topshop', 'Boots', 'Deliveroo', 'AMAZON', 'Revella', 'Fat Face']",[496674181.0],2023-11-30
151968462.0,418,32803.66,28.759999999999998,78.47765550239235,"['LBG', 'PureGym', 'Revella', 'Fat Face', 'Topshop', 'Tesco', 'Gamestation', 'Five Senses Art', 'Reebok', 'Brilliant Brushes', 'Boots', 'Sports Direct', 'Loosely Fitted', 'Xbox', 'Mojang Studios', 'Etsy', 'Hobby Lobby', 'Selfridges', 'CeX', 'JustEat', 'Amazon', 'Fitted Stitch', 'Matalan', 'Coop Local', 'Blizzard', 'AMAZON', 'Deliveroo', 'Sainsbury Local', 'Sainsbury', 'SquareOnix', 'Lloyds Pharmacy']",[771125520.0],2023-12-06
152488934.0,203,31090.85,64.97,153.15689655172412,"['Halifax', 'Netflix', 'Amazon', 'Grand Union BJJ', 'Tesco', 'Gamestation', 'Sports Direct', 'Blizzard', 'Xbox', 'JustEat', 'Fat Face', 'Topshop', 'Matalan', 'Reebok', 'Mojang Studios', 'Lloyds Pharmacy', 'Sainsbury Local', 'Fitted Stitch', 'Loosely Fitted', 'Deliveroo', 'Coop Local', 'SquareOnix']",[355602925.0],2023-12-05
152616936.0,191,14782.33,65.49,77.39439790575916,"['Disney', 'Netflix', 'Grand Union BJJ', 'Etsy', 'Sainsbury Local', 'Wool', 'Sports Direct', 'Starbucks', 'Fat Face', 'Topshop', 'Matalan', 'Deliveroo', 'Tesco', 'JustEat', 'Hobby Lobby', 'Revella']",[],2023-12-06
154246234.0,126,22479.28,36.98,178.40698412698413,"['Halifax', 'PureGym', 'Netflix', 'Tesco', 'The Works', 'Sports Direct', 'Topshop', ""Blackwell's"", 'Matalan', 'JustEat', 'Sainsbury', 'Deliveroo', 'Selfridges', 'Fat Face']",[490868147.0],2023-12-01
155317149.0,174,8212.06,32.08,47.19574712643678,"['PureGym', 'Disney', 'Netflix', ""Blackwell's"", 'Tesco', 'JustEat', 'The Works', 'Gamestation', 'Sports Direct', 'Blizzard', 'SquareOnix', 'Deliveroo', 'Xbox', 'Revella', 'Fat Face', 'Topshop', 'Matalan', 'Mojang Studios', 'Loosely Fitted']",[530855891.0],2023-12-05
155867488.0,213,14276.25,49.98,67.02464788732394,"['Disney', 'Amazon', 'PureGym', 'Tesco', 'The Works', 'The Crown', 'Fat Face', 'Topshop', 'Matalan', 'Sports Direct', 'Five Senses Art', 'Deliveroo', 'Revella', 'JustEat', 'Brilliant Brushes', ""Blackwell's"", 'Hobby Lobby']",[188263947.0],2023-12-04
