Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name,Datetime
01/01/2023,00:00:00,241459011.0,2466.1,1620.1,,Starbucks,2023-01-01 00:00:00
01/01/2023,00:00:00,604288474.0,3946.3,2083.3,,The Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,720742759.0,2317.0,1694.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,200080192.0,4046.0,2800.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,183888402.0,4966.0,4167.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,532478725.0,3786.0,1825.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,680773155.0,2806.0,1706.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,215426302.0,3488.5,1842.5,,Cass Art,2023-01-01 00:00:00
01/01/2023,00:00:00,285428103.0,3815.1,2648.1,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,925037906.0,3789.0,1833.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,892354433.0,3914.0,2046.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,820686957.0,2696.0,1675.0,,Rose & Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,744398361.0,2831.0,1340.0,820686957.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,145387690.0,2444.0,1675.0,,The Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,414805878.0,4767.75,3087.75,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,776431321.0,3695.0,2000.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,666952234.0,1880.0,500.0,776431321.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,345582855.0,3434.5,1542.5,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,308068836.0,4300.0,2472.0,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,722971557.0,3614.0,1675.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,183546640.0,2728.5,1842.5,,Brilliant Brushes,2023-01-01 00:00:00
01/01/2023,00:00:00,143606916.0,2403.0,740.0,183546640.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,705848712.0,6390.8,5292.8,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,214339619.0,3149.6,1916.6,,Costa Coffee,2023-01-01 00:00:00
01/01/2023,00:00:00,565175333.0,2905.0,1694.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,168414279.0,1429.0,680.0,565175333.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,435313070.0,2584.0,2046.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,426466211.0,2733.1,1620.1,,Starbucks,2023-01-01 00:00:00
01/01/2023,00:00:00,311467864.0,1617.0,410.0,426466211.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,913801979.0,3159.0,1698.0,,North Face,2023-01-01 00:00:00
01/01/2023,00:00:00,108481285.0,1376.0,640.0,913801979.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,994214354.0,3961.0,2999.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,475277431.0,2562.0,1625.0,,Rose & Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,454356905.0,3614.0,2375.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,660874296.0,3884.0,3080.0,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,280098744.0,2105.0,1230.0,660874296.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,889916166.0,3608.0,1625.0,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,783650950.0,2613.0,650.0,889916166.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,868377987.0,4017.0,3080.0,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,828750680.0,2550.0,1230.0,868377987.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,170637730.0,3178.0,2021.0,,A Cut Above,2023-01-01 00:00:00
01/01/2023,00:00:00,878989510.0,3892.0,2472.0,,Sunny Care Nursery,2023-01-01 00:00:00
01/01/2023,00:00:00,104832000.0,3055.0,1675.0,,A Yarn Story,2023-01-01 00:00:00
01/01/2023,00:00:00,259015404.0,3449.0,1633.0,,North Face,2023-01-01 00:00:00
01/01/2023,00:00:00,259015404.0,4049.0,600.0,146383025.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,519644021.0,3184.3,2083.3,,Rose & Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,626989363.0,3978.1,2648.1,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,822135975.0,4424.75,3087.75,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,111137699.0,3247.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,165098840.0,2241.0,670.0,111137699.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,630468201.0,2712.0,1596.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,455052690.0,1916.0,1280.0,630468201.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,844835978.0,3947.1,2648.1,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,971010829.0,2697.0,2083.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,657528784.0,2099.0,630.0,971010829.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,713910252.0,4466.0,3080.0,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,596171893.0,1726.0,930.0,713910252.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,663479159.0,3240.0,1750.0,,Costa Coffee,2023-01-01 00:00:00
01/01/2023,00:00:00,424397946.0,4418.0,3080.0,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,724537117.0,2338.0,1819.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,346874167.0,1380.0,730.0,724537117.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,973086490.0,3971.0,3168.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,585596026.0,3724.0,2500.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,287480331.0,1541.0,940.0,585596026.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,978951113.0,1969.0,640.0,384183820.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,767447966.0,2453.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,322720763.0,3333.0,1821.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,162162212.0,2651.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,587202562.0,4358.0,2780.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,261793952.0,1710.0,700.0,587202562.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,427909748.0,3568.0,1625.0,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,644751433.0,3689.0,2000.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,492850697.0,2081.0,800.0,644751433.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,198051483.0,3089.5,1542.5,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,891513205.0,1409.0,390.0,198051483.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,490790931.0,2937.0,1625.0,,Rose & Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,121113546.0,1882.0,410.0,490790931.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,899692478.0,3126.0,1675.0,,A Yarn Story,2023-01-01 00:00:00
01/01/2023,00:00:00,194745206.0,3165.0,1340.0,899692478.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,254853117.0,3746.0,2375.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,924045955.0,3024.0,2021.0,,Barbiee Boutique,2023-01-01 00:00:00
01/01/2023,00:00:00,509627909.0,2409.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,406862520.0,2013.0,670.0,509627909.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,497809732.0,3265.0,1695.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,836110591.0,2858.0,2292.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,833899961.0,3366.0,2780.0,,A Yarn Story,2023-01-01 00:00:00
01/01/2023,00:00:00,668175891.0,1673.0,1110.0,833899961.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,274818272.0,3593.0,1819.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,615144184.0,1848.0,730.0,274818272.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,977899503.0,3019.0,1609.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,471897866.0,3338.0,2472.0,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,822250278.0,3862.0,2694.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,549414742.0,3811.0,2694.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,655368335.0,3494.0,1625.0,,The Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,540159353.0,4727.889999999999,3124.89,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,633345190.0,4240.0,3080.0,,Sunny Care Nursery,2023-01-01 00:00:00
01/01/2023,00:00:00,979122276.0,2599.0,680.0,699714981.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,336557504.0,3821.66,2841.66,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,578131296.0,1996.0,710.0,336557504.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,534908754.0,2435.0,1706.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,158766229.0,2082.0,430.0,534908754.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,711045550.0,2724.1,1620.1,,Costa Coffee,2023-01-01 00:00:00
01/01/2023,00:00:00,408057540.0,4231.66,2841.66,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,793781222.0,2384.0,1825.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,422955974.0,3322.5,1842.5,,Brilliant Brushes,2023-01-01 00:00:00
01/01/2023,00:00:00,131388684.0,5225.0,4375.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,541639148.0,2962.0,1596.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,124125096.0,4613.66,2641.66,,Sunny Care Nursery,2023-01-01 00:00:00
01/01/2023,00:00:00,514362267.0,2886.0,2110.0,124125096.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,785210466.0,3714.0,1825.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,255814263.0,4353.0,2999.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,117308635.0,1937.0,1200.0,255814263.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,456246119.0,4066.3,2083.3,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,489964679.0,6141.8,5292.8,,Sunny Care Nursery,2023-01-01 00:00:00
01/01/2023,00:00:00,456246119.0,4676.3,610.0,489964679.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,630691258.0,2699.5,1842.5,,Brilliant Brushes,2023-01-01 00:00:00
01/01/2023,00:00:00,358836279.0,1771.0,740.0,630691258.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,499244466.0,3440.1,1620.1,,Starbucks,2023-01-01 00:00:00
01/01/2023,00:00:00,641376155.0,2639.0,650.0,499244466.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,176922958.0,3233.0,2021.0,,Barbiee Boutique,2023-01-01 00:00:00
01/01/2023,00:00:00,849096144.0,3577.0,1625.0,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,324046160.0,2578.0,2000.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,925659248.0,3407.0,1600.0,324046160.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,291580432.0,4118.0,2472.0,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,812012103.0,1829.0,620.0,291580432.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,742223719.0,2678.0,1584.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,625281433.0,3439.0,1819.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,347110339.0,1875.0,450.0,625281433.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,662610817.0,1394.0,520.0,416074215.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,433917275.0,3792.0,3080.0,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,290751280.0,2729.0,1625.0,,The Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,713641917.0,2267.0,1287.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,642924505.0,3125.0,1675.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,965038148.0,2442.0,610.0,642924505.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,673818591.0,3428.0,2000.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,583558311.0,2114.0,770.0,673818591.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,516051449.0,3317.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,478412511.0,2535.0,1675.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,897592348.0,3105.0,2300.0,,Sunny Care Nursery,2023-01-01 00:00:00
01/01/2023,00:00:00,910730524.0,2948.0,1675.0,,Rose & Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,420109571.0,4428.0,2780.0,,North Face,2023-01-01 00:00:00
01/01/2023,00:00:00,250895529.0,3515.0,2220.0,420109571.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,169006407.0,4000.0,2870.0,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,454129843.0,4996.0,3080.0,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,593191200.0,1524.0,770.0,454129843.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,266777719.0,3467.0,2520.0,849775403.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,905860285.0,5870.0,4375.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,570269025.0,2551.0,2000.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,948558249.0,2966.5,1842.5,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,235663459.0,3560.0,1596.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,679911053.0,2379.0,1706.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,303843160.0,3049.0,1825.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,448279144.0,2991.0,1584.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,993238248.0,2396.0,540.0,448279144.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,782013626.0,3421.0,2500.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,684988568.0,3656.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,938992364.0,2654.0,670.0,684988568.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,816685391.0,2899.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,197865285.0,3913.0,2870.0,,Cass Art,2023-01-01 00:00:00
01/01/2023,00:00:00,762896656.0,2062.0,720.0,197865285.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,654329190.0,4501.0,2773.0,,Barbiee Boutique,2023-01-01 00:00:00
01/01/2023,00:00:00,857997794.0,2238.0,1110.0,654329190.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,859603181.0,3043.0,2472.0,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,277562576.0,2734.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,361955473.0,3685.0,2500.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,709151315.0,1884.0,890.0,361955473.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,901432314.0,3102.5,1842.5,,Cass Art,2023-01-01 00:00:00
01/01/2023,00:00:00,124102251.0,3241.6,1916.6,,Starbucks,2023-01-01 00:00:00
01/01/2023,00:00:00,322221939.0,4428.0,2694.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,419550103.0,3148.1,2648.1,,Sunny Care Nursery,2023-01-01 00:00:00
01/01/2023,00:00:00,392270893.0,2682.0,2000.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,688712152.0,3474.0,2375.0,,Selfridges,2023-01-01 00:00:00
01/01/2023,00:00:00,940569402.0,4580.0,3125.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,762700245.0,2590.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,873701090.0,2357.0,1544.0,,A Cut Above,2023-01-01 00:00:00
01/01/2023,00:00:00,142791593.0,2529.0,1625.0,,Rose & Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,719742742.0,2451.0,650.0,142791593.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,252760664.0,3891.6,2916.6,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,487051121.0,3168.0,2472.0,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,678726554.0,2085.0,860.0,487051121.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,225210798.0,3729.5,1842.5,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,653640811.0,3380.66,2841.66,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,661295096.0,2796.0,1675.0,,The Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,647936800.0,4580.66,2841.66,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,572384506.0,3246.0,1390.0,647936800.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,137822385.0,3625.0,2773.0,,A Cut Above,2023-01-01 00:00:00
01/01/2023,00:00:00,737537711.0,2634.0,690.0,137822385.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,479366718.0,3320.0,2773.0,,Barbiee Boutique,2023-01-01 00:00:00
01/01/2023,00:00:00,899742927.0,1646.0,1000.0,479366718.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,899742927.0,3488.5,1842.5,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,886921642.0,3818.0,2046.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,685959099.0,3187.92,1736.92,,Lavender Fields,2023-01-01 00:00:00
01/01/2023,00:00:00,621652856.0,2850.0,1675.0,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,227104649.0,3216.0,1675.0,,A Yarn Story,2023-01-01 00:00:00
01/01/2023,00:00:00,903663593.0,2594.3,2083.3,,Rose & Crown,2023-01-01 00:00:00
01/01/2023,00:00:00,310375875.0,2423.0,580.0,903663593.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,519935524.0,3297.0,1675.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,812692024.0,3811.5,1842.5,,Brilliant Brushes,2023-01-01 00:00:00
01/01/2023,00:00:00,737547541.0,3545.0,1675.0,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,603721739.0,3029.5,1842.5,,Brilliant Brushes,2023-01-01 00:00:00
01/01/2023,00:00:00,885259672.0,2771.5,1842.5,,Cass Art,2023-01-01 00:00:00
01/01/2023,00:00:00,605116158.0,2392.1,1620.1,,Costa Coffee,2023-01-01 00:00:00
01/01/2023,00:00:00,891716230.0,3796.0,3238.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,950234174.0,3412.0,2590.0,891716230.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,858560423.0,4229.0,2870.0,,Brilliant Brushes,2023-01-01 00:00:00
01/01/2023,00:00:00,130522384.0,3725.92,1736.92,,Victoria Park,2023-01-01 00:00:00
01/01/2023,00:00:00,213096759.0,1986.0,430.0,130522384.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,424927189.0,3605.0,1675.0,,North Face,2023-01-01 00:00:00
01/01/2023,00:00:00,380911501.0,2009.0,390.0,424927189.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,282102606.0,3208.0,2472.0,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,556631012.0,2150.0,830.0,282102606.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,749378808.0,3376.0,1900.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,405416860.0,3802.5,1842.5,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,743630833.0,2938.0,1675.0,,A Yarn Story,2023-01-01 00:00:00
01/01/2023,00:00:00,603375739.0,3167.0,1675.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,851181128.0,3598.0,2770.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,698955014.0,5018.75,3087.75,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,660561861.0,3010.0,1270.0,698955014.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,517190750.0,3719.1,2648.1,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,736310094.0,2023.0,1287.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,338022396.0,2702.3,2083.3,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,773633520.0,2482.0,520.0,338022396.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,152488934.0,4535.1,2648.1,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,355602925.0,1679.0,830.0,152488934.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,383625050.0,3227.1,2648.1,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,116598243.0,3704.0,1706.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,691012931.0,2599.0,1584.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,518378868.0,938.0,120.0,691012931.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,198946608.0,2745.0,2000.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,844206657.0,2941.0,1675.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,858989281.0,7104.8,5292.8,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,610645022.0,3016.0,1644.0,,North Face,2023-01-01 00:00:00
01/01/2023,00:00:00,216285378.0,4839.0,3376.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,355940285.0,4865.33,3333.33,,Pets Corner,2023-01-01 00:00:00
01/01/2023,00:00:00,766941757.0,2513.0,1230.0,355940285.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,998390769.0,3599.0,1625.0,,Kings Arms,2023-01-01 00:00:00
01/01/2023,00:00:00,187541224.0,3898.0,2300.0,,Green Park Academy,2023-01-01 00:00:00
01/01/2023,00:00:00,986774156.0,2342.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,912705941.0,3063.0,2472.0,,Sunny Care Nursery,2023-01-01 00:00:00
01/01/2023,00:00:00,154246234.0,2827.0,1706.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,490868147.0,2001.0,680.0,154246234.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,736340277.0,3308.0,2472.0,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,263882093.0,967.0,440.0,757694047.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,364357875.0,2564.5,1842.5,,Cass Art,2023-01-01 00:00:00
01/01/2023,00:00:00,585625048.0,3561.0,1675.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,380228542.0,2488.5,1842.5,,Cass Art,2023-01-01 00:00:00
01/01/2023,00:00:00,329840194.0,2737.0,1819.0,,Westport Care Home,2023-01-01 00:00:00
