,Account No,Hour,DayOfWeek,DayOfMonth,MonthOfYear,Third Party Account No,Third Party Name,Amount,Risk Category
102,108481285.0,15,0,22,5,,theworks,11.98,No Risk
103,108481285.0,15,2,11,1,,sportsdirect,25.0,No Risk
104,108481285.0,15,3,24,8,,fittedstitch,23.32,No Risk
105,108481285.0,15,4,18,8,,fivesensesart,5.99,No Risk
106,108481285.0,15,4,22,9,,fatface,300.3,Medium Risk
107,108481285.0,15,4,31,3,,sainsburylocal,21.0,No Risk
108,108481285.0,15,5,24,6,,sportsdirect,29.99,No Risk
109,108481285.0,16,0,10,7,,sportsdirect,72.99,No Risk
110,108481285.0,16,0,24,4,,theworks,10.98,No Risk
111,108481285.0,16,1,11,4,,theworks,21.97,No Risk
112,108481285.0,16,2,8,2,,lloydspharmacy,15.06,No Risk
113,108481285.0,16,2,12,7,,etsy,13.25,No Risk
114,108481285.0,16,2,13,9,,topshop,5.78,No Risk
115,108481285.0,16,3,2,3,,theworks,6.99,No Risk
116,108481285.0,16,3,8,6,,fatface,104.29,No Risk
117,108481285.0,16,5,29,7,,etsy,14.55,No Risk
118,108481285.0,17,0,26,6,,sportsdirect,31.99,No Risk
119,108481285.0,17,1,5,9,,sportsdirect,49.99,No Risk
120,108481285.0,17,1,7,2,,topshop,249.87,Medium Risk
121,108481285.0,17,1,24,1,,theworks,16.97,No Risk
122,108481285.0,17,3,8,6,,fatface,90.3,No Risk
123,108481285.0,17,3,13,7,,sainsbury,6.33,No Risk
124,108481285.0,17,3,18,5,,amazon,24.82,No Risk
125,108481285.0,17,4,3,3,,sportsdirect,28.0,No Risk
126,108481285.0,17,4,15,9,,sportsdirect,105.08,No Risk
127,108481285.0,17,4,23,6,,theworks,23.96,No Risk
128,108481285.0,18,1,3,10,,amazon,1.81,No Risk
129,108481285.0,18,3,22,6,,hobbylobby,31.49,No Risk
130,108481285.0,20,2,1,3,,amazon,13.91,Low Risk
131,108481285.0,20,3,29,6,,justeat,22.4,No Risk
132,108563213.0,2,1,14,11,,selfridges,27.64,No Risk
133,108563213.0,2,2,7,6,,selfridges,16.48,No Risk
134,108563213.0,2,5,18,11,,amazon,39.75,No Risk
135,108563213.0,4,1,5,12,,selfridges,62.9,No Risk
136,108563213.0,4,1,25,4,,tesco,1.04,No Risk
137,108563213.0,4,2,5,7,,amazon,9.89,No Risk
138,108563213.0,4,6,1,10,,amazon,36.8,No Risk
139,108563213.0,5,1,1,8,,fittedstitch,16.52,No Risk
140,108563213.0,5,1,5,9,,revella,8.29,No Risk
141,108563213.0,5,2,21,6,,fatface,21.75,No Risk
142,108563213.0,5,4,13,10,,boots,11.64,No Risk
143,108563213.0,6,0,9,10,,fittedstitch,69.45,No Risk
144,108563213.0,6,0,10,7,,tesco,8.21,No Risk
145,108563213.0,6,2,22,11,,amazon,33.75,No Risk
146,108563213.0,6,3,7,9,,amazon,7.7,No Risk
147,108563213.0,6,3,29,6,,sainsburylocal,29.93,No Risk
148,108563213.0,6,5,17,6,,tesco,47.47,No Risk
149,108563213.0,6,6,8,10,,tesco,31.21,No Risk
150,108563213.0,6,6,12,11,,sainsburylocal,44.36,No Risk
151,108563213.0,6,6,24,9,,lloydspharmacy,74.45,No Risk
152,108563213.0,7,0,20,11,,tesco,34.99,No Risk
153,108563213.0,7,0,27,11,,boots,5.61,No Risk
154,108563213.0,7,1,3,10,,fittedstitch,2.97,No Risk
155,108563213.0,7,1,31,10,,amazon,28.54,No Risk
156,108563213.0,7,2,19,7,,amazon,51.78,No Risk
157,108563213.0,7,4,30,6,,sainsbury,21.32,No Risk
158,108563213.0,7,6,9,7,,fatface,5.3,No Risk
159,108563213.0,8,1,4,4,,tesco,65.86,No Risk
160,108563213.0,8,1,18,7,,tesco,142.48,No Risk
161,108563213.0,8,2,29,11,,tesco,51.41,No Risk
162,108563213.0,8,3,28,9,,tesco,73.21,No Risk
163,108563213.0,8,6,25,6,,sainsbury,31.76,No Risk
164,108563213.0,9,3,23,3,,tesco,74.02,No Risk
165,108563213.0,9,5,5,8,,blackwell's,20.0,No Risk
166,108563213.0,9,5,25,3,,matalan,140.0,No Risk
167,108563213.0,9,6,6,8,,matalan,1.36,No Risk
168,108563213.0,10,5,7,10,,theworks,26.04,No Risk
169,108563213.0,10,5,11,11,,fatface,107.8,No Risk
170,108563213.0,10,5,21,1,,gamestation,79.98,No Risk
171,108563213.0,10,5,25,2,,sportsdirect,35.0,No Risk
172,108563213.0,10,6,8,1,,tesco,41.46,No Risk
173,108563213.0,11,5,7,1,,matalan,170.49,No Risk
174,108563213.0,13,5,25,3,,fatface,57.39,No Risk
175,108563213.0,13,5,25,3,,topshop,151.86,No Risk
176,108563213.0,14,5,11,11,,topshop,151.87,No Risk
177,108563213.0,17,0,3,4,,theworks,28.95,No Risk
178,108563213.0,17,1,9,5,,theworks,31.96,No Risk
179,108563213.0,17,1,18,7,,deliveroo,13.5,No Risk
180,108563213.0,17,1,27,6,,theworks,23.97,No Risk
181,108563213.0,17,2,8,11,,sportsdirect,90.62,No Risk
182,108563213.0,17,3,5,10,,sportsdirect,54.09,No Risk
183,108563213.0,17,3,9,11,,tesco,56.24,No Risk
184,108563213.0,17,4,12,5,,justeat,30.19,No Risk
185,108563213.0,17,4,17,3,,sportsdirect,69.98,No Risk
186,108563213.0,18,2,12,7,,tesco,36.88,No Risk
187,108563213.0,18,2,16,8,,amazon,41.76,No Risk
188,108563213.0,18,3,9,11,,topshop,8.12,No Risk
189,108563213.0,19,1,22,8,,tesco,167.79,No Risk
190,108563213.0,19,1,31,1,,tesco,64.36,Low Risk
191,108563213.0,21,1,23,5,,amazon,11.34,No Risk
192,108812033.0,5,2,6,9,,deliveroo,30.84,No Risk
193,108812033.0,6,2,30,8,,deliveroo,30.64,No Risk
194,108812033.0,8,1,28,2,,tesco,108.23,No Risk
195,108812033.0,8,5,28,10,,tesco,113.4,No Risk
196,108812033.0,9,3,30,11,,reebok,87.98,No Risk
197,108812033.0,9,4,31,3,,reebok,181.96,No Risk
198,108812033.0,9,5,30,9,,reebok,29.99,No Risk
199,108812033.0,10,1,31,1,,gamestation,119.97,No Risk
200,108812033.0,10,1,31,10,,reebok,49.99,No Risk
201,108812033.0,10,2,31,5,,reebok,155.98000000000002,No Risk
202,108812033.0,10,5,30,9,,reebok,131.98,No Risk
203,108812033.0,12,0,13,11,,deliveroo,15.49,No Risk
204,108812033.0,12,0,24,4,,tesco,38.48,No Risk
205,108812033.0,12,1,17,10,,tesco,33.08,No Risk
206,108812033.0,12,1,18,4,,tesco,81.72,No Risk
207,108812033.0,13,0,16,1,,tesco,133.31,No Risk
208,108812033.0,14,1,24,1,,tesco,71.94,No Risk
209,108812033.0,14,6,2,7,,tesco,99.77,Low Risk
210,108812033.0,14,6,14,5,,deliveroo,29.5,No Risk
211,108812033.0,16,4,19,5,,tesco,103.48,No Risk
212,108812033.0,18,3,12,10,,tesco,56.84,Low Risk
213,108812033.0,18,3,19,10,,tesco,101.88,No Risk
214,108931112.0,3,4,6,10,,matalan,78.37,No Risk
215,108931112.0,3,4,24,11,,deliveroo,32.43,No Risk
216,108931112.0,4,0,7,8,,justeat,41.29,No Risk
217,108931112.0,4,3,9,11,,justeat,36.65,No Risk
218,108931112.0,5,0,20,11,,justeat,39.83,No Risk
219,108931112.0,5,2,6,9,,deliveroo,29.32,No Risk
220,108931112.0,5,3,31,8,,deliveroo,36.95,No Risk
221,108931112.0,5,5,23,9,,deliveroo,39.38,No Risk
222,108931112.0,5,5,28,10,,deliveroo,35.59,No Risk
223,108931112.0,6,0,9,10,,deliveroo,40.25,No Risk
224,108931112.0,6,1,26,9,,justeat,43.23,No Risk
225,108931112.0,6,2,6,12,,justeat,25.42,No Risk
226,108931112.0,6,2,8,11,,justeat,32.58,No Risk
227,108931112.0,6,2,11,10,,lloydspharmacy,5.16,No Risk
228,108931112.0,6,5,21,1,,gapkids,260.0,Low Risk
229,108931112.0,6,6,8,10,,deliveroo,25.34,No Risk
230,108931112.0,7,4,3,11,,selfridges,5.58,No Risk
231,108931112.0,7,4,23,6,,fittedstitch,7.93,No Risk
232,108931112.0,8,1,17,10,,justeat,49.43,No Risk
233,108931112.0,8,1,19,9,,justeat,31.68,No Risk
234,108931112.0,8,5,11,3,,tesco,151.24,No Risk
235,108931112.0,9,0,8,5,,brilliantbrushes,21.02,No Risk
236,108931112.0,9,0,31,7,,cassart,14.32,No Risk
237,108931112.0,9,1,11,4,,tesco,64.4,No Risk
238,108931112.0,9,1,22,8,,cassart,10.35,No Risk
239,108931112.0,9,2,8,3,,cassart,14.99,No Risk
240,108931112.0,9,2,8,11,,cassart,10.97,No Risk
241,108931112.0,9,2,26,7,,cassart,30.59,No Risk
242,108931112.0,9,3,17,8,,fatface,246.4,No Risk
243,108931112.0,9,3,25,5,,fivesensesart,20.15,No Risk
244,108931112.0,9,4,3,3,,sportsdirect,31.99,No Risk
245,108931112.0,9,4,5,5,,cassart,12.0,No Risk
246,108931112.0,9,4,11,8,,cassart,53.03,No Risk
247,108931112.0,9,5,15,4,,brilliantbrushes,18.97,No Risk
248,108931112.0,10,0,28,8,,deliveroo,26.24,No Risk
249,108931112.0,10,1,3,10,,fivesensesart,22.26,No Risk
250,108931112.0,10,1,29,8,,cassart,17.67,No Risk
251,108931112.0,10,2,1,3,,tesco,48.44,No Risk
252,108931112.0,10,2,14,6,,cassart,8.06,No Risk
253,108931112.0,10,2,15,3,,cassart,19.98,No Risk
254,108931112.0,10,3,5,1,,cassart,94.97,No Risk
255,108931112.0,10,3,17,8,,topshop,218.4,No Risk
256,108931112.0,10,4,2,6,,cassart,62.47,No Risk
257,108931112.0,10,4,17,2,,fatface,191.0,No Risk
258,108931112.0,10,4,27,10,,revella,72.8,No Risk
259,108931112.0,10,5,2,12,,matalan,46.13,No Risk
260,108931112.0,10,6,5,2,,cassart,3.0,No Risk
261,108931112.0,10,6,24,9,,etsy,0.07,No Risk
262,108931112.0,11,1,11,7,,tesco,55.61,No Risk
263,108931112.0,11,2,6,12,,amazon,5.27,No Risk
264,108931112.0,11,4,9,6,,cassart,3.03,No Risk
265,108931112.0,11,6,15,10,,cassart,8.07,No Risk
266,108931112.0,12,3,24,8,,justeat,26.0,No Risk
267,108931112.0,13,2,4,1,,thecrown,4.9,No Risk
268,108931112.0,14,3,13,4,,cassart,49.99,No Risk
269,108931112.0,15,3,17,8,,fatface,108.5,No Risk
270,108931112.0,16,2,20,9,,revella,209.3,No Risk
271,108931112.0,16,3,6,7,,cassart,32.49,No Risk
272,108931112.0,18,3,2,2,,hobbylobby,69.97,High Risk
273,108931112.0,21,5,1,4,,deliveroo,32.82,Low Risk
274,111137699.0,8,0,27,2,,cooplocal,113.4,No Risk
275,111137699.0,8,0,29,5,,cooplocal,62.1,No Risk
276,111137699.0,8,2,15,11,,cooplocal,110.44,No Risk
277,111137699.0,8,5,8,7,,cooplocal,53.37,No Risk
278,111137699.0,10,4,3,2,,sportsdirect,157.98,No Risk
279,111137699.0,10,5,4,2,,brilliantbrushes,9.99,No Risk
280,111137699.0,11,1,17,1,,brilliantbrushes,49.99,No Risk
281,111137699.0,11,6,5,2,,matalan,487.9,High Risk
282,111137699.0,11,6,5,2,,topshop,131.6,No Risk
283,111137699.0,11,6,8,1,,matalan,153.3,No Risk
284,111137699.0,12,2,25,10,,justeat,40.35,No Risk
285,111137699.0,12,6,16,7,,cooplocal,151.68,No Risk
286,111137699.0,13,3,6,4,,cooplocal,150.26,No Risk
287,111137699.0,13,5,10,6,,cooplocal,130.11,No Risk
288,113747882.0,0,0,6,11,,deliveroo,23.43,No Risk
289,113747882.0,0,0,16,10,,looselyfitted,12.32,No Risk
290,113747882.0,0,6,24,9,,amazon,29.31,No Risk
291,113747882.0,0,6,30,4,,deliveroo,31.44,Low Risk
292,113747882.0,1,0,5,6,,looselyfitted,19.18,No Risk
293,113747882.0,1,0,23,10,,sainsbury,47.35,No Risk
294,113747882.0,1,0,30,10,,cooplocal,4.55,No Risk
295,113747882.0,2,0,31,7,,amazon,3.83,No Risk
296,113747882.0,2,2,15,11,,deliveroo,33.28,No Risk
297,113747882.0,2,6,6,8,,etsy,15.07,No Risk
298,113747882.0,3,4,30,6,,tesco,45.92,No Risk
299,113747882.0,4,1,24,10,,justeat,29.94,No Risk
300,113747882.0,4,4,24,11,,justeat,27.13,No Risk
301,113747882.0,4,6,30,7,,amazon,3.46,No Risk
302,113747882.0,5,0,6,11,,cooplocal,30.68,No Risk
303,113747882.0,5,0,19,6,,revella,27.61,No Risk
304,113747882.0,5,0,22,5,,topshop,54.52,No Risk
305,113747882.0,5,1,5,12,,topshop,2.14,No Risk
306,113747882.0,5,1,17,10,,fittedstitch,19.78,No Risk
307,113747882.0,5,3,16,3,,selfridges,10.26,No Risk
308,113747882.0,5,4,14,7,,cooplocal,13.18,No Risk
309,113747882.0,5,4,24,11,,fittedstitch,22.2,No Risk
310,113747882.0,5,6,16,7,,matalan,1.89,No Risk
311,113747882.0,5,6,28,5,,fittedstitch,20.36,No Risk
312,113747882.0,6,2,12,7,,fittedstitch,9.92,No Risk
313,113747882.0,6,6,2,7,,fatface,13.0,No Risk
314,113747882.0,7,1,13,6,,matalan,16.48,No Risk
315,113747882.0,7,3,29,6,,selfridges,6.0,No Risk
316,113747882.0,7,5,11,11,,topshop,27.36,No Risk
317,113747882.0,8,0,4,12,,looselyfitted,32.43,No Risk
318,113747882.0,8,2,25,10,,amazon,19.92,No Risk
319,113747882.0,8,5,21,10,,tesco,3.14,No Risk
320,113747882.0,8,6,4,6,,amazon,21.12,No Risk
321,113747882.0,9,5,11,11,,stitchbystitch,9.31,No Risk
322,113747882.0,9,5,25,11,,wool,25.92,No Risk
323,113747882.0,9,6,19,11,,blackwell's,39.43,No Risk
324,113747882.0,9,6,22,1,,blackwell's,19.97,No Risk
325,113747882.0,10,5,4,11,,wool,12.91,No Risk
326,113747882.0,10,5,25,2,,blackwell's,28.96,No Risk
327,113747882.0,10,6,8,1,,cex,149.97,Medium Risk
328,113747882.0,10,6,8,10,,sportsdirect,35.94,No Risk
329,113747882.0,10,6,18,6,,sportsdirect,60.05,No Risk
330,113747882.0,10,6,23,7,,sportsdirect,50.5,No Risk
331,113747882.0,11,5,15,7,,theworks,34.26,No Risk
332,113747882.0,11,6,9,7,,tesco,132.26,No Risk
333,113747882.0,11,6,22,10,,sportsdirect,45.34,No Risk
334,113747882.0,13,5,28,10,,boots,8.66,No Risk
335,113747882.0,13,6,20,8,,sportsdirect,76.25,No Risk
336,113747882.0,15,6,1,1,,tesco,117.23,Medium Risk
337,113747882.0,17,1,22,8,,wool,22.37,No Risk
338,113747882.0,17,1,29,8,,wool,16.25,No Risk
339,113747882.0,17,2,8,2,,wool,11.94,No Risk
340,113747882.0,17,2,25,1,,wool,7.96,No Risk
341,113747882.0,17,3,23,2,,selfridges,201.6,No Risk
342,113747882.0,17,3,25,5,,sportsdirect,50.04,No Risk
343,113747882.0,17,4,14,4,,sainsburylocal,278.04,No Risk
344,113747882.0,18,1,14,11,,justeat,33.83,No Risk
345,113747882.0,18,1,27,6,,tesco,111.57,No Risk
346,113747882.0,18,2,9,8,,topshop,39.11,No Risk
347,113747882.0,18,3,5,1,,hobbylobby,38.5,No Risk
348,113747882.0,18,3,27,7,,fatface,401.8,High Risk
349,113747882.0,18,4,28,4,,sainsburylocal,94.14,No Risk
350,113747882.0,20,0,25,9,,deliveroo,33.88,No Risk
351,113747882.0,20,2,20,9,,justeat,20.93,No Risk
352,113747882.0,20,4,9,6,,topshop,5.35,No Risk
353,116169597.0,4,5,21,10,,deliveroo,46.85,No Risk
354,116169597.0,8,0,27,2,,tesco,107.37,No Risk
355,116169597.0,8,3,19,10,,tesco,101.91,No Risk
356,116169597.0,9,0,2,1,,tesco,158.84,No Risk
357,116169597.0,9,1,20,6,,fivesensesart,58.97,No Risk
358,116169597.0,9,1,28,2,,fivesensesart,1.5,No Risk
359,116169597.0,9,2,9,8,,fatface,153.27,No Risk
360,116169597.0,9,3,11,5,,fivesensesart,99.97,No Risk
361,116169597.0,9,3,14,9,,fivesensesart,41.97,No Risk
362,116169597.0,9,4,10,3,,theworks,36.95,No Risk
363,116169597.0,9,5,2,9,,tesco,232.47,No Risk
364,116169597.0,9,5,8,4,,fivesensesart,14.99,No Risk
365,116169597.0,9,5,11,3,,fatface,169.36,No Risk
366,116169597.0,9,6,1,1,,fatface,46.17,No Risk
367,116169597.0,9,6,14,5,,theworks,52.93,No Risk
368,116169597.0,10,1,15,8,,fatface,77.67,No Risk
369,116169597.0,10,1,31,1,,brilliantbrushes,18.48,No Risk
370,116169597.0,10,2,9,8,,topshop,240.09,No Risk
371,116169597.0,10,3,22,6,,topshop,213.47,No Risk
372,116169597.0,11,1,7,11,,tesco,216.32,No Risk
373,116169597.0,11,3,22,6,,topshop,48.97,No Risk
374,116169597.0,11,6,1,1,,theworks,62.92,No Risk
375,116169597.0,11,6,17,9,,tesco,275.58,No Risk
376,116169597.0,11,6,24,9,,theworks,60.91,No Risk
377,116169597.0,12,1,15,8,,fatface,202.27,No Risk
378,116169597.0,12,3,14,9,,fatface,227.46,No Risk
379,116169597.0,12,3,22,6,,matalan,67.89,No Risk
380,116169597.0,12,6,1,10,,tesco,120.18,No Risk
381,116169597.0,12,6,4,6,,fivesensesart,29.99,No Risk
382,116169597.0,12,6,21,5,,theworks,65.91,No Risk
383,116169597.0,13,2,6,12,,starbucks,7.8,No Risk
384,116169597.0,15,0,10,7,,deliveroo,28.95,No Risk
385,116169597.0,16,1,15,8,,fatface,247.09,No Risk
386,116169597.0,17,1,14,11,,fivesensesart,99.98,No Risk
387,116169597.0,18,0,20,3,,justeat,40.29,No Risk
388,116598243.0,1,0,15,5,,revella,14.57,No Risk
389,116598243.0,2,0,16,10,,amazon,2.87,No Risk
390,116598243.0,3,5,17,6,,sainsbury,17.13,No Risk
391,116598243.0,3,6,18,6,,boots,9.64,No Risk
392,116598243.0,4,2,5,4,,etsy,9.18,No Risk
393,116598243.0,4,2,29,3,,selfridges,67.45,No Risk
394,116598243.0,4,2,31,5,,topshop,42.88,No Risk
395,116598243.0,5,0,17,4,,boots,20.9,No Risk
396,116598243.0,5,2,11,10,,amazon,17.91,No Risk
397,116598243.0,6,3,21,9,,cooplocal,37.3,No Risk
398,116598243.0,6,4,2,6,,justeat,25.29,No Risk
399,116598243.0,7,0,23,1,,starbucks,7.1,No Risk
400,116598243.0,7,1,21,3,,starbucks,5.8,No Risk
401,116598243.0,7,1,25,7,,starbucks,7.9,No Risk
402,116598243.0,7,2,30,8,,starbucks,5.2,No Risk
403,116598243.0,7,4,7,7,,starbucks,7.8,No Risk
404,116598243.0,7,5,3,6,,etsy,3.86,No Risk
405,116598243.0,7,6,30,4,,fatface,7.89,No Risk
406,116598243.0,8,5,13,5,,amazon,33.79,No Risk
407,116598243.0,10,5,10,6,,sportsdirect,35.1,No Risk
408,116598243.0,10,5,17,6,,sportsdirect,35.1,No Risk
409,116598243.0,10,6,14,5,,gamestation,50.08,No Risk
410,116598243.0,11,6,13,8,,fatface,84.0,No Risk
411,116598243.0,11,6,13,8,,topshop,183.4,No Risk
412,116598243.0,11,6,18,6,,topshop,160.3,No Risk
413,116598243.0,14,6,18,6,,topshop,183.4,No Risk
414,116598243.0,15,0,8,5,,gamestation,20.03,No Risk
415,116598243.0,15,0,11,9,,sportsdirect,55.26,No Risk
416,116598243.0,15,1,18,4,,gamestation,129.97,No Risk
417,116598243.0,15,2,1,3,,gamestation,29.99,No Risk
418,116598243.0,15,2,3,5,,reebok,35.07,No Risk
419,116598243.0,15,2,26,7,,tesco,78.92,No Risk
420,116598243.0,15,3,26,1,,gamestation,99.98,No Risk
421,116598243.0,15,5,18,2,,gamestation,79.98,No Risk
422,116598243.0,15,6,18,6,,topshop,62.3,No Risk
423,116598243.0,16,2,8,2,,tesco,105.29,No Risk
424,116598243.0,16,2,15,3,,fatface,115.5,No Risk
425,116598243.0,16,2,19,4,,sportsdirect,99.99,No Risk
426,116598243.0,16,3,27,4,,gamestation,80.06,No Risk
427,116598243.0,16,5,21,10,,topshop,198.8,No Risk
428,116598243.0,17,1,11,7,,fatface,290.5,No Risk
429,116598243.0,17,1,13,6,,fittedstitch,0.22,No Risk
430,116598243.0,17,2,9,8,,tesco,138.94,No Risk
431,116598243.0,17,3,13,4,,tesco,54.14,No Risk
432,116598243.0,17,4,12,5,,topshop,3.39,No Risk
433,116598243.0,18,5,4,3,,selfridges,24.65,No Risk
434,116598243.0,18,5,21,10,,fatface,280.0,No Risk
435,116598243.0,22,2,18,1,,sainsburylocal,25.3,No Risk
436,117273481.0,2,6,1,10,,lloydspharmacy,18.93,No Risk
437,117273481.0,4,5,17,6,,tesco,6.91,No Risk
438,117273481.0,4,5,19,8,,fatface,16.96,No Risk
439,117273481.0,5,0,7,8,,sainsburylocal,3.94,No Risk
440,117273481.0,6,2,4,10,,looselyfitted,2.45,No Risk
441,117273481.0,6,3,20,7,,etsy,2.6,No Risk
442,117273481.0,8,2,23,8,,tesco,20.8,No Risk
443,117273481.0,8,5,15,4,,sainsbury,60.33,No Risk
444,117273481.0,9,0,1,5,,coffee#1,5.7,No Risk
445,117273481.0,9,0,3,7,,starbucks,6.8,No Risk
446,117273481.0,9,0,4,9,,coffee#1,5.65,No Risk
447,117273481.0,9,0,4,12,,coffee#1,6.0,No Risk
