Account No,Hour,DayOfWeek,DayOfMonth,MonthOfYear,Third Party Name,Amount,Prediction,Risk Category
105375973.0,12,6,3,12,sportsdirect,66.17,-1.0,Low Risk
105375973.0,13,0,4,9,selfridges,88.86,1.0,No Risk
105375973.0,13,4,30,6,sportsdirect,90.17,1.0,No Risk
105375973.0,14,0,1,5,fittedstitch,350.65999999999997,1.0,No Risk
105375973.0,14,0,4,9,fittedstitch,130.19,1.0,No Risk
105375973.0,15,0,4,9,selfridges,53.89,1.0,No Risk
105375973.0,15,4,24,3,fittedstitch,151.19,1.0,No Risk
105375973.0,16,0,23,1,topshop,28.15,1.0,No Risk
105375973.0,17,0,4,9,selfridges,243.57,1.0,No Risk
105375973.0,17,4,24,3,fatface,196.7,1.0,No Risk
105375973.0,18,2,11,1,lloydspharmacy,69.03,1.0,No Risk
106601471.0,6,5,16,9,matalan,50.45,1.0,No Risk
106601471.0,9,0,16,1,blackwell's,15.98,1.0,No Risk
106601471.0,9,1,12,9,amazon,25.02,1.0,No Risk
106601471.0,13,1,13,6,blackwell's,9.99,1.0,No Risk
106601471.0,15,0,12,6,revella,54.65,1.0,No Risk
106601471.0,15,1,14,2,fatface,197.5,1.0,No Risk
106601471.0,16,6,12,11,cooplocal,16.16,1.0,No Risk
106601471.0,17,1,14,2,fatface,176.5,1.0,No Risk
106601471.0,17,2,6,9,revella,146.3,1.0,No Risk
106601471.0,17,2,29,11,boots,7.99,1.0,No Risk
106601471.0,17,3,17,8,blackwell's,40.99,1.0,No Risk
106601471.0,17,3,26,1,blackwell's,29.95,1.0,No Risk
106601471.0,17,4,22,9,etsy,33.76,1.0,No Risk
106601471.0,17,4,31,3,tesco,79.95,1.0,No Risk
106601471.0,18,2,6,9,fatface,181.3,-1.0,Medium Risk
106601471.0,18,4,1,12,justeat,36.5,-1.0,Medium Risk
106601471.0,20,0,26,6,tesco,15.31,1.0,No Risk
108481285.0,1,0,19,6,amazon,1.97,1.0,No Risk
108481285.0,3,1,10,10,revella,30.95,1.0,No Risk
108481285.0,3,3,23,11,boots,2.43,1.0,No Risk
108481285.0,3,5,1,7,selfridges,44.47,1.0,No Risk
108481285.0,3,6,3,9,sainsburylocal,5.3,1.0,No Risk
108481285.0,4,1,5,12,amazon,38.87,1.0,No Risk
108481285.0,4,5,18,11,matalan,5.37,1.0,No Risk
108481285.0,5,2,27,9,boots,47.04,1.0,No Risk
108481285.0,5,4,6,10,tesco,25.6,1.0,No Risk
108481285.0,5,4,28,7,amazon,30.09,1.0,No Risk
108481285.0,5,6,24,9,revella,28.61,1.0,No Risk
108481285.0,6,1,25,7,selfridges,34.31,1.0,No Risk
108481285.0,6,1,28,11,matalan,9.99,1.0,No Risk
108481285.0,6,5,21,10,amazon,4.34,1.0,No Risk
108481285.0,6,5,26,8,looselyfitted,6.44,1.0,No Risk
108481285.0,6,6,8,10,topshop,12.34,1.0,No Risk
108481285.0,6,6,25,6,amazon,31.11,1.0,No Risk
108481285.0,7,5,19,8,revella,38.81,1.0,No Risk
108481285.0,7,6,13,8,revella,8.8,1.0,No Risk
108481285.0,8,5,9,9,amazon,3.23,1.0,No Risk
108481285.0,8,5,11,11,amazon,79.33,1.0,No Risk
108481285.0,9,5,25,11,sportsdirect,135.12,1.0,No Risk
108481285.0,9,6,9,4,fatface,151.16,1.0,No Risk
108481285.0,11,6,10,9,amazon,25.23,1.0,No Risk
108481285.0,12,5,26,8,sportsdirect,12.99,1.0,No Risk
108481285.0,12,6,13,8,theworks,23.96,1.0,No Risk
108481285.0,12,6,16,4,sportsdirect,61.99,1.0,No Risk
108481285.0,14,5,2,12,blackwell's,32.98,1.0,No Risk
108481285.0,15,0,22,5,theworks,11.98,1.0,No Risk
108481285.0,15,2,11,1,sportsdirect,25.0,1.0,No Risk
108481285.0,15,3,24,8,fittedstitch,23.32,1.0,No Risk
108481285.0,15,4,18,8,fivesensesart,5.99,1.0,No Risk
108481285.0,15,4,22,9,fatface,300.3,-1.0,Medium Risk
108481285.0,15,4,31,3,sainsburylocal,21.0,1.0,No Risk
108481285.0,15,5,24,6,sportsdirect,29.99,1.0,No Risk
108481285.0,16,0,10,7,sportsdirect,72.99,1.0,No Risk
108481285.0,16,0,24,4,theworks,10.98,1.0,No Risk
108481285.0,16,1,11,4,theworks,21.97,1.0,No Risk
108481285.0,16,2,8,2,lloydspharmacy,15.06,1.0,No Risk
108481285.0,16,2,12,7,etsy,13.25,1.0,No Risk
108481285.0,16,2,13,9,topshop,5.78,1.0,No Risk
108481285.0,16,3,2,3,theworks,6.99,1.0,No Risk
108481285.0,16,3,8,6,fatface,104.29,1.0,No Risk
108481285.0,16,5,29,7,etsy,14.55,1.0,No Risk
108481285.0,17,0,26,6,sportsdirect,31.99,1.0,No Risk
108481285.0,17,1,5,9,sportsdirect,49.99,1.0,No Risk
108481285.0,17,1,7,2,topshop,249.87,-1.0,Medium Risk
108481285.0,17,1,24,1,theworks,16.97,1.0,No Risk
108481285.0,17,3,8,6,fatface,90.3,1.0,No Risk
108481285.0,17,3,13,7,sainsbury,6.33,1.0,No Risk
108481285.0,17,3,18,5,amazon,24.82,1.0,No Risk
108481285.0,17,4,3,3,sportsdirect,28.0,1.0,No Risk
108481285.0,17,4,15,9,sportsdirect,105.08,1.0,No Risk
108481285.0,17,4,23,6,theworks,23.96,1.0,No Risk
108481285.0,18,1,3,10,amazon,1.81,1.0,No Risk
108481285.0,18,3,22,6,hobbylobby,31.49,1.0,No Risk
108481285.0,20,2,1,3,amazon,13.91,1.0,No Risk
108481285.0,20,3,29,6,justeat,22.4,1.0,No Risk
108563213.0,2,1,14,11,selfridges,27.64,1.0,No Risk
108563213.0,2,2,7,6,selfridges,16.48,1.0,No Risk
108563213.0,2,5,18,11,amazon,39.75,1.0,No Risk
108563213.0,4,1,5,12,selfridges,62.9,1.0,No Risk
108563213.0,4,1,25,4,tesco,1.04,1.0,No Risk
108563213.0,4,2,5,7,amazon,9.89,1.0,No Risk
108563213.0,4,6,1,10,amazon,36.8,1.0,No Risk
108563213.0,5,1,1,8,fittedstitch,16.52,1.0,No Risk
108563213.0,5,1,5,9,revella,8.29,1.0,No Risk
108563213.0,5,2,21,6,fatface,21.75,1.0,No Risk
108563213.0,5,4,13,10,boots,11.64,1.0,No Risk
108563213.0,6,0,9,10,fittedstitch,69.45,1.0,No Risk
108563213.0,6,0,10,7,tesco,8.21,1.0,No Risk
108563213.0,6,2,22,11,amazon,33.75,1.0,No Risk
108563213.0,6,3,7,9,amazon,7.7,1.0,No Risk
108563213.0,6,3,29,6,sainsburylocal,29.93,1.0,No Risk
108563213.0,6,5,17,6,tesco,47.47,1.0,No Risk
108563213.0,6,6,8,10,tesco,31.21,1.0,No Risk
108563213.0,6,6,12,11,sainsburylocal,44.36,1.0,No Risk
108563213.0,6,6,24,9,lloydspharmacy,74.45,1.0,No Risk
108563213.0,7,0,20,11,tesco,34.99,1.0,No Risk
108563213.0,7,0,27,11,boots,5.61,1.0,No Risk
108563213.0,7,1,3,10,fittedstitch,2.97,1.0,No Risk
108563213.0,7,1,31,10,amazon,28.54,1.0,No Risk
108563213.0,7,2,19,7,amazon,51.78,1.0,No Risk
108563213.0,7,4,30,6,sainsbury,21.32,1.0,No Risk
108563213.0,7,6,9,7,fatface,5.3,1.0,No Risk
108563213.0,8,1,4,4,tesco,65.86,1.0,No Risk
108563213.0,8,1,18,7,tesco,142.48,1.0,No Risk
108563213.0,8,2,29,11,tesco,51.41,1.0,No Risk
108563213.0,8,3,28,9,tesco,73.21,1.0,No Risk
108563213.0,8,6,25,6,sainsbury,31.76,1.0,No Risk
108563213.0,9,3,23,3,tesco,74.02,1.0,No Risk
108563213.0,9,5,5,8,blackwell's,20.0,1.0,No Risk
108563213.0,9,5,25,3,matalan,140.0,1.0,No Risk
108563213.0,9,6,6,8,matalan,1.36,1.0,No Risk
108563213.0,10,5,7,10,theworks,26.04,1.0,No Risk
108563213.0,10,5,11,11,fatface,107.8,1.0,No Risk
108563213.0,10,5,21,1,gamestation,79.98,1.0,No Risk
108563213.0,10,5,25,2,sportsdirect,35.0,1.0,No Risk
108563213.0,10,6,8,1,tesco,41.46,1.0,No Risk
108563213.0,11,5,7,1,matalan,170.49,1.0,No Risk
108563213.0,13,5,25,3,fatface,57.39,1.0,No Risk
108563213.0,13,5,25,3,topshop,151.86,1.0,No Risk
108563213.0,14,5,11,11,topshop,151.87,1.0,No Risk
108563213.0,17,0,3,4,theworks,28.95,1.0,No Risk
108563213.0,17,1,9,5,theworks,31.96,1.0,No Risk
108563213.0,17,1,18,7,deliveroo,13.5,1.0,No Risk
108563213.0,17,1,27,6,theworks,23.97,1.0,No Risk
108563213.0,17,2,8,11,sportsdirect,90.62,1.0,No Risk
108563213.0,17,3,5,10,sportsdirect,54.09,1.0,No Risk
108563213.0,17,3,9,11,tesco,56.24,1.0,No Risk
108563213.0,17,4,12,5,justeat,30.19,1.0,No Risk
108563213.0,17,4,17,3,sportsdirect,69.98,1.0,No Risk
108563213.0,18,2,12,7,tesco,36.88,1.0,No Risk
108563213.0,18,2,16,8,amazon,41.76,1.0,No Risk
108563213.0,18,3,9,11,topshop,8.12,1.0,No Risk
108563213.0,19,1,22,8,tesco,167.79,-1.0,Medium Risk
108563213.0,19,1,31,1,tesco,64.36,-1.0,Low Risk
108563213.0,21,1,23,5,amazon,11.34,1.0,No Risk
108812033.0,5,2,6,9,deliveroo,30.84,1.0,No Risk
108812033.0,6,2,30,8,deliveroo,30.64,1.0,No Risk
108812033.0,8,1,28,2,tesco,108.23,1.0,No Risk
108812033.0,8,5,28,10,tesco,113.4,1.0,No Risk
108812033.0,9,3,30,11,reebok,87.98,1.0,No Risk
108812033.0,9,4,31,3,reebok,181.95999999999998,1.0,No Risk
108812033.0,9,5,30,9,reebok,29.99,1.0,No Risk
108812033.0,10,1,31,1,gamestation,119.97,1.0,No Risk
108812033.0,10,1,31,10,reebok,49.99,1.0,No Risk
108812033.0,10,2,31,5,reebok,155.98000000000002,1.0,No Risk
108812033.0,10,5,30,9,reebok,131.98,1.0,No Risk
108812033.0,12,0,13,11,deliveroo,15.49,1.0,No Risk
108812033.0,12,0,24,4,tesco,38.48,1.0,No Risk
108812033.0,12,1,17,10,tesco,33.08,1.0,No Risk
108812033.0,12,1,18,4,tesco,81.72,1.0,No Risk
108812033.0,13,0,16,1,tesco,133.31,1.0,No Risk
108812033.0,14,1,24,1,tesco,71.94,1.0,No Risk
108812033.0,14,6,2,7,tesco,99.77,1.0,No Risk
108812033.0,14,6,14,5,deliveroo,29.5,1.0,No Risk
108812033.0,16,4,19,5,tesco,103.48,1.0,No Risk
108812033.0,18,3,12,10,tesco,56.84,-1.0,Low Risk
108812033.0,18,3,19,10,tesco,101.88,-1.0,Low Risk
108931112.0,3,4,6,10,matalan,78.37,1.0,No Risk
108931112.0,3,4,24,11,deliveroo,32.43,1.0,No Risk
108931112.0,4,0,7,8,justeat,41.29,1.0,No Risk
108931112.0,4,3,9,11,justeat,36.65,1.0,No Risk
108931112.0,5,0,20,11,justeat,39.83,1.0,No Risk
108931112.0,5,2,6,9,deliveroo,29.32,1.0,No Risk
108931112.0,5,3,31,8,deliveroo,36.95,1.0,No Risk
108931112.0,5,5,23,9,deliveroo,39.38,1.0,No Risk
108931112.0,5,5,28,10,deliveroo,35.59,1.0,No Risk
108931112.0,6,0,9,10,deliveroo,40.25,1.0,No Risk
108931112.0,6,1,26,9,justeat,43.23,1.0,No Risk
108931112.0,6,2,6,12,justeat,25.42,1.0,No Risk
108931112.0,6,2,8,11,justeat,32.58,1.0,No Risk
108931112.0,6,2,11,10,lloydspharmacy,5.16,1.0,No Risk
108931112.0,6,5,21,1,gapkids,260.0,-1.0,Low Risk
108931112.0,6,6,8,10,deliveroo,25.34,1.0,No Risk
108931112.0,7,4,3,11,selfridges,5.58,1.0,No Risk
108931112.0,7,4,23,6,fittedstitch,7.93,1.0,No Risk
108931112.0,8,1,17,10,justeat,49.43,1.0,No Risk
108931112.0,8,1,19,9,justeat,31.68,1.0,No Risk
108931112.0,8,5,11,3,tesco,151.24,1.0,No Risk
108931112.0,9,0,8,5,brilliantbrushes,21.02,1.0,No Risk
108931112.0,9,0,31,7,cassart,14.32,1.0,No Risk
108931112.0,9,1,11,4,tesco,64.4,1.0,No Risk
108931112.0,9,1,22,8,cassart,10.35,1.0,No Risk
108931112.0,9,2,8,3,cassart,14.99,1.0,No Risk
108931112.0,9,2,8,11,cassart,10.97,1.0,No Risk
108931112.0,9,2,26,7,cassart,30.59,1.0,No Risk
108931112.0,9,3,17,8,fatface,246.4,1.0,No Risk
108931112.0,9,3,25,5,fivesensesart,20.15,1.0,No Risk
108931112.0,9,4,3,3,sportsdirect,31.99,1.0,No Risk
108931112.0,9,4,5,5,cassart,12.0,1.0,No Risk
108931112.0,9,4,11,8,cassart,53.03,1.0,No Risk
108931112.0,9,5,15,4,brilliantbrushes,18.97,1.0,No Risk
108931112.0,10,0,28,8,deliveroo,26.24,1.0,No Risk
108931112.0,10,1,3,10,fivesensesart,22.26,1.0,No Risk
108931112.0,10,1,29,8,cassart,17.67,1.0,No Risk
108931112.0,10,2,1,3,tesco,48.44,1.0,No Risk
108931112.0,10,2,14,6,cassart,8.06,1.0,No Risk
108931112.0,10,2,15,3,cassart,19.98,1.0,No Risk
108931112.0,10,3,5,1,cassart,94.97,1.0,No Risk
108931112.0,10,3,17,8,topshop,218.4,1.0,No Risk
108931112.0,10,4,2,6,cassart,62.47,1.0,No Risk
108931112.0,10,4,17,2,fatface,191.0,1.0,No Risk
108931112.0,10,4,27,10,revella,72.8,1.0,No Risk
108931112.0,10,5,2,12,matalan,46.13,1.0,No Risk
108931112.0,10,6,5,2,cassart,3.0,1.0,No Risk
108931112.0,10,6,24,9,etsy,0.07,1.0,No Risk
108931112.0,11,1,11,7,tesco,55.61,1.0,No Risk
108931112.0,11,2,6,12,amazon,5.27,1.0,No Risk
108931112.0,11,4,9,6,cassart,3.03,1.0,No Risk
108931112.0,11,6,15,10,cassart,8.07,1.0,No Risk
108931112.0,12,3,24,8,justeat,26.0,1.0,No Risk
108931112.0,13,2,4,1,thecrown,4.9,1.0,No Risk
108931112.0,14,3,13,4,cassart,49.99,1.0,No Risk
108931112.0,15,3,17,8,fatface,108.5,1.0,No Risk
108931112.0,16,2,20,9,revella,209.3,1.0,No Risk
108931112.0,16,3,6,7,cassart,32.49,1.0,No Risk
108931112.0,18,3,2,2,hobbylobby,69.97,1.0,No Risk
108931112.0,21,5,1,4,deliveroo,32.82,-1.0,Low Risk
111137699.0,8,0,27,2,cooplocal,113.4,1.0,No Risk
111137699.0,8,0,29,5,cooplocal,62.1,1.0,No Risk
111137699.0,8,2,15,11,cooplocal,110.44,1.0,No Risk
111137699.0,8,5,8,7,cooplocal,53.37,1.0,No Risk
111137699.0,10,4,3,2,sportsdirect,157.98,1.0,No Risk
111137699.0,10,5,4,2,brilliantbrushes,9.99,1.0,No Risk
111137699.0,11,1,17,1,brilliantbrushes,49.99,1.0,No Risk
111137699.0,11,6,5,2,matalan,487.90000000000003,-1.0,High Risk
111137699.0,11,6,5,2,topshop,131.6,1.0,No Risk
111137699.0,11,6,8,1,matalan,153.3,1.0,No Risk
111137699.0,12,2,25,10,justeat,40.35,1.0,No Risk
111137699.0,12,6,16,7,cooplocal,151.68,1.0,No Risk
111137699.0,13,3,6,4,cooplocal,150.26,1.0,No Risk
111137699.0,13,5,10,6,cooplocal,130.11,1.0,No Risk
113747882.0,0,0,6,11,deliveroo,23.43,1.0,No Risk
113747882.0,0,0,16,10,looselyfitted,12.32,1.0,No Risk
113747882.0,0,6,24,9,amazon,29.31,1.0,No Risk
113747882.0,0,6,30,4,deliveroo,31.44,1.0,No Risk
113747882.0,1,0,5,6,looselyfitted,19.18,1.0,No Risk
113747882.0,1,0,23,10,sainsbury,47.35,1.0,No Risk
113747882.0,1,0,30,10,cooplocal,4.55,1.0,No Risk
113747882.0,2,0,31,7,amazon,3.83,1.0,No Risk
113747882.0,2,2,15,11,deliveroo,33.28,1.0,No Risk
113747882.0,2,6,6,8,etsy,15.07,1.0,No Risk
113747882.0,3,4,30,6,tesco,45.92,1.0,No Risk
113747882.0,4,1,24,10,justeat,29.94,1.0,No Risk
113747882.0,4,4,24,11,justeat,27.13,1.0,No Risk
113747882.0,4,6,30,7,amazon,3.46,1.0,No Risk
113747882.0,5,0,6,11,cooplocal,30.68,1.0,No Risk
113747882.0,5,0,19,6,revella,27.61,1.0,No Risk
113747882.0,5,0,22,5,topshop,54.52,1.0,No Risk
113747882.0,5,1,5,12,topshop,2.14,1.0,No Risk
113747882.0,5,1,17,10,fittedstitch,19.78,1.0,No Risk
113747882.0,5,3,16,3,selfridges,10.26,1.0,No Risk
113747882.0,5,4,14,7,cooplocal,13.18,1.0,No Risk
113747882.0,5,4,24,11,fittedstitch,22.2,1.0,No Risk
113747882.0,5,6,16,7,matalan,1.89,1.0,No Risk
113747882.0,5,6,28,5,fittedstitch,20.36,1.0,No Risk
113747882.0,6,2,12,7,fittedstitch,9.92,1.0,No Risk
113747882.0,6,6,2,7,fatface,13.0,1.0,No Risk
113747882.0,7,1,13,6,matalan,16.48,1.0,No Risk
113747882.0,7,3,29,6,selfridges,6.0,1.0,No Risk
113747882.0,7,5,11,11,topshop,27.36,1.0,No Risk
113747882.0,8,0,4,12,looselyfitted,32.43,1.0,No Risk
113747882.0,8,2,25,10,amazon,19.92,1.0,No Risk
113747882.0,8,5,21,10,tesco,3.14,1.0,No Risk
113747882.0,8,6,4,6,amazon,21.12,1.0,No Risk
113747882.0,9,5,11,11,stitchbystitch,9.31,1.0,No Risk
113747882.0,9,5,25,11,wool,25.92,1.0,No Risk
113747882.0,9,6,19,11,blackwell's,39.43,1.0,No Risk
113747882.0,9,6,22,1,blackwell's,19.97,1.0,No Risk
113747882.0,10,5,4,11,wool,12.91,1.0,No Risk
113747882.0,10,5,25,2,blackwell's,28.96,1.0,No Risk
113747882.0,10,6,8,1,cex,149.97,-1.0,Medium Risk
113747882.0,10,6,8,10,sportsdirect,35.94,1.0,No Risk
113747882.0,10,6,18,6,sportsdirect,60.05,1.0,No Risk
113747882.0,10,6,23,7,sportsdirect,50.5,1.0,No Risk
113747882.0,11,5,15,7,theworks,34.26,1.0,No Risk
113747882.0,11,6,9,7,tesco,132.26,1.0,No Risk
113747882.0,11,6,22,10,sportsdirect,45.34,1.0,No Risk
113747882.0,13,5,28,10,boots,8.66,1.0,No Risk
113747882.0,13,6,20,8,sportsdirect,76.25,1.0,No Risk
113747882.0,15,6,1,1,tesco,117.23,-1.0,Medium Risk
113747882.0,17,1,22,8,wool,22.37,1.0,No Risk
113747882.0,17,1,29,8,wool,16.25,1.0,No Risk
113747882.0,17,2,8,2,wool,11.94,1.0,No Risk
113747882.0,17,2,25,1,wool,7.96,1.0,No Risk
113747882.0,17,3,23,2,selfridges,201.6,1.0,No Risk
113747882.0,17,3,25,5,sportsdirect,50.04,1.0,No Risk
113747882.0,17,4,14,4,sainsburylocal,278.04,1.0,No Risk
113747882.0,18,1,14,11,justeat,33.83,1.0,No Risk
113747882.0,18,1,27,6,tesco,111.57,1.0,No Risk
113747882.0,18,2,9,8,topshop,39.11,1.0,No Risk
113747882.0,18,3,5,1,hobbylobby,38.5,1.0,No Risk
113747882.0,18,3,27,7,fatface,401.8,-1.0,High Risk
113747882.0,18,4,28,4,sainsburylocal,94.14,1.0,No Risk
113747882.0,20,0,25,9,deliveroo,33.88,1.0,No Risk
113747882.0,20,2,20,9,justeat,20.93,1.0,No Risk
113747882.0,20,4,9,6,topshop,5.35,1.0,No Risk
116169597.0,4,5,21,10,deliveroo,46.85,1.0,No Risk
116169597.0,8,0,27,2,tesco,107.37,1.0,No Risk
116169597.0,8,3,19,10,tesco,101.91,1.0,No Risk
116169597.0,9,0,2,1,tesco,158.84,1.0,No Risk
116169597.0,9,1,20,6,fivesensesart,58.97,1.0,No Risk
116169597.0,9,1,28,2,fivesensesart,1.5,1.0,No Risk
116169597.0,9,2,9,8,fatface,153.27,1.0,No Risk
116169597.0,9,3,11,5,fivesensesart,99.97,1.0,No Risk
116169597.0,9,3,14,9,fivesensesart,41.97,1.0,No Risk
116169597.0,9,4,10,3,theworks,36.95,1.0,No Risk
116169597.0,9,5,2,9,tesco,232.47,1.0,No Risk
116169597.0,9,5,8,4,fivesensesart,14.99,1.0,No Risk
116169597.0,9,5,11,3,fatface,169.36,1.0,No Risk
116169597.0,9,6,1,1,fatface,46.17,1.0,No Risk
116169597.0,9,6,14,5,theworks,52.93,1.0,No Risk
116169597.0,10,1,15,8,fatface,77.67,1.0,No Risk
116169597.0,10,1,31,1,brilliantbrushes,18.48,1.0,No Risk
116169597.0,10,2,9,8,topshop,240.09,1.0,No Risk
116169597.0,10,3,22,6,topshop,213.47,1.0,No Risk
116169597.0,11,1,7,11,tesco,216.32,1.0,No Risk
116169597.0,11,3,22,6,topshop,48.97,1.0,No Risk
116169597.0,11,6,1,1,theworks,62.92,1.0,No Risk
116169597.0,11,6,17,9,tesco,275.58,1.0,No Risk
116169597.0,11,6,24,9,theworks,60.91,1.0,No Risk
116169597.0,12,1,15,8,fatface,202.27,1.0,No Risk
116169597.0,12,3,14,9,fatface,227.46,1.0,No Risk
116169597.0,12,3,22,6,matalan,67.89,1.0,No Risk
116169597.0,12,6,1,10,tesco,120.18,1.0,No Risk
116169597.0,12,6,4,6,fivesensesart,29.99,1.0,No Risk
116169597.0,12,6,21,5,theworks,65.91,1.0,No Risk
116169597.0,13,2,6,12,starbucks,7.8,1.0,No Risk
116169597.0,15,0,10,7,deliveroo,28.95,1.0,No Risk
116169597.0,16,1,15,8,fatface,247.09,1.0,No Risk
116169597.0,17,1,14,11,fivesensesart,99.98,1.0,No Risk
116169597.0,18,0,20,3,justeat,40.29,1.0,No Risk
116598243.0,1,0,15,5,revella,14.57,1.0,No Risk
116598243.0,2,0,16,10,amazon,2.87,1.0,No Risk
116598243.0,3,5,17,6,sainsbury,17.13,1.0,No Risk
116598243.0,3,6,18,6,boots,9.64,1.0,No Risk
116598243.0,4,2,5,4,etsy,9.18,1.0,No Risk
116598243.0,4,2,29,3,selfridges,67.45,1.0,No Risk
116598243.0,4,2,31,5,topshop,42.88,1.0,No Risk
116598243.0,5,0,17,4,boots,20.9,1.0,No Risk
116598243.0,5,2,11,10,amazon,17.91,1.0,No Risk
116598243.0,6,3,21,9,cooplocal,37.3,1.0,No Risk
116598243.0,6,4,2,6,justeat,25.29,1.0,No Risk
116598243.0,7,0,23,1,starbucks,7.1,1.0,No Risk
116598243.0,7,1,21,3,starbucks,5.8,1.0,No Risk
116598243.0,7,1,25,7,starbucks,7.9,1.0,No Risk
116598243.0,7,2,30,8,starbucks,5.2,1.0,No Risk
116598243.0,7,4,7,7,starbucks,7.8,1.0,No Risk
116598243.0,7,5,3,6,etsy,3.86,1.0,No Risk
116598243.0,7,6,30,4,fatface,7.89,1.0,No Risk
116598243.0,8,5,13,5,amazon,33.79,1.0,No Risk
116598243.0,10,5,10,6,sportsdirect,35.1,1.0,No Risk
116598243.0,10,5,17,6,sportsdirect,35.1,1.0,No Risk
116598243.0,10,6,14,5,gamestation,50.08,1.0,No Risk
116598243.0,11,6,13,8,fatface,84.0,1.0,No Risk
116598243.0,11,6,13,8,topshop,183.4,1.0,No Risk
116598243.0,11,6,18,6,topshop,160.3,1.0,No Risk
116598243.0,14,6,18,6,topshop,183.4,1.0,No Risk
116598243.0,15,0,8,5,gamestation,20.03,1.0,No Risk
116598243.0,15,0,11,9,sportsdirect,55.26,1.0,No Risk
116598243.0,15,1,18,4,gamestation,129.97,1.0,No Risk
116598243.0,15,2,1,3,gamestation,29.99,1.0,No Risk
116598243.0,15,2,3,5,reebok,35.07,1.0,No Risk
116598243.0,15,2,26,7,tesco,78.92,1.0,No Risk
116598243.0,15,3,26,1,gamestation,99.98,1.0,No Risk
116598243.0,15,5,18,2,gamestation,79.98,1.0,No Risk
116598243.0,15,6,18,6,topshop,62.3,1.0,No Risk
116598243.0,16,2,8,2,tesco,105.29,1.0,No Risk
116598243.0,16,2,15,3,fatface,115.5,1.0,No Risk
116598243.0,16,2,19,4,sportsdirect,99.99,1.0,No Risk
116598243.0,16,3,27,4,gamestation,80.06,1.0,No Risk
116598243.0,16,5,21,10,topshop,198.8,1.0,No Risk
116598243.0,17,1,11,7,fatface,290.5,1.0,No Risk
116598243.0,17,1,13,6,fittedstitch,0.22,1.0,No Risk
116598243.0,17,2,9,8,tesco,138.94,1.0,No Risk
116598243.0,17,3,13,4,tesco,54.14,1.0,No Risk
116598243.0,17,4,12,5,topshop,3.39,1.0,No Risk
116598243.0,18,5,4,3,selfridges,24.65,1.0,No Risk
