,Account No,Hour,DayOfWeek,DayOfMonth,MonthOfYear,Third Party Account No,Third Party Name,Amount,Risk Category
97095,651756497.0,23,2,31,5,,puregym,18.99,No Risk
34024,105375973.0,5,4,17,2,,etsy,48.86,No Risk
161780,610645022.0,5,0,4,9,,deliveroo,16.23,No Risk
106976,846550094.0,12,6,18,6,,sportsdirect,49.99,No Risk
122865,866941383.0,15,6,9,7,,matalan,154.0,No Risk
25529,809499628.0,23,1,31,1,,blizzard,14.99,No Risk
60804,930271460.0,23,4,31,3,,puregym,18.99,No Risk
19700,687135796.0,8,0,30,1,,tesco,95.92,No Risk
211122,558119802.0,6,1,14,11,,matalan,56.02,No Risk
162576,891513205.0,12,1,5,9,,tesco,50.41,No Risk
175960,930277104.0,10,5,30,9,,fatface,235.2,Low Risk
112665,552980092.0,9,4,30,6,,wool,34.93,No Risk
164084,402438092.0,13,4,8,9,,topshop,25.49,No Risk
63807,719742742.0,8,1,4,4,,tesco,127.2,No Risk
79874,578131296.0,23,6,30,4,,xbox,7.0,No Risk
65601,188263947.0,13,5,8,4,,sportsdirect,31.99,No Risk
154704,891716230.0,17,3,31,8,,sportsdirect,9.99,No Risk
200570,656781737.0,23,1,31,10,,netflix,15.99,No Risk
41543,836110591.0,23,1,28,2,,blizzard,14.99,No Risk
139346,213112754.0,8,2,2,8,,tesco,40.45,No Risk
152232,704517789.0,0,0,28,8,,fittedstitch,7.64,No Risk
99376,919185264.0,14,4,2,6,,theworks,21.97,No Risk
217122,503575533.0,13,5,25,11,,fatface,100.79,No Risk
176173,252701364.0,13,5,30,9,,tesco,32.16,No Risk
48043,851181128.0,6,3,9,3,,etsy,16.29,No Risk
36017,892354433.0,8,2,22,2,,starbucks,6.1,No Risk
54827,886921642.0,9,0,27,3,,sainsburylocal,50.34,No Risk
104411,846550094.0,18,0,12,6,,hobbylobby,1.5,No Risk
177909,903663593.0,23,5,30,9,,blizzard,14.99,No Risk
60577,596171893.0,23,4,31,3,,puregym,18.99,No Risk
131638,994214354.0,6,5,29,7,,boots,28.41,No Risk
81333,639549973.0,14,2,3,5,,tesco,127.38,No Risk
199128,846550094.0,0,2,1,11,,halifax,1170.0,No Risk
74842,856957948.0,11,6,30,4,,fatface,86.8,No Risk
25928,492215823.0,23,1,31,1,,netflix,15.99,No Risk
139313,370521542.0,7,2,2,8,,fittedstitch,39.76,No Risk
58707,220183538.0,23,4,31,3,,netflix,15.99,No Risk
19737,146686559.0,9,0,30,1,,tesco,24.06,No Risk
202533,280200287.0,23,1,31,10,,netflix,15.99,No Risk
15199,793781222.0,7,4,20,1,,etsy,9.6,No Risk
35360,405416860.0,10,0,20,2,,tesco,288.84,No Risk
47366,788740658.0,11,1,7,3,,topshop,43.12,No Risk
191781,414805878.0,8,4,20,10,,amazon,0.18,No Risk
36380,631744379.0,8,3,23,2,,tesco,96.47,No Risk
39517,620227043.0,20,1,28,2,,tesco,211.27,No Risk
140251,492215823.0,18,3,3,8,,hobbylobby,30.14,No Risk
54288,613427466.0,16,5,25,3,,looselyfitted,94.48,No Risk
77628,741269136.0,23,6,30,4,,puregym,18.99,No Risk
210732,984783496.0,9,0,13,11,,tesco,97.29,No Risk
188409,145387690.0,4,5,14,10,,matalan,33.3,No Risk
206165,914806976.0,10,6,5,11,,sportsdirect,74.99,No Risk
158390,625658193.0,23,3,31,8,,disney,7.99,No Risk
78883,329840194.0,23,6,30,4,,disney,7.99,No Risk
51717,196289502.0,13,5,18,3,,sportsdirect,127.99,No Risk
168644,245690309.0,8,6,17,9,,amazon,21.83,No Risk
148446,713910252.0,19,5,19,8,,tesco,75.91,No Risk
178440,600185455.0,23,5,30,9,,netflix,15.99,No Risk
148333,846550094.0,13,5,19,8,,theworks,27.95,No Risk
181701,546296727.0,15,6,1,10,,sportsdirect,28.0,No Risk
178023,776431321.0,23,5,30,9,,amazon,7.99,No Risk
13669,993039226.0,15,0,16,1,,matalan,149.0,No Risk
51689,720742759.0,12,5,18,3,,cex,49.98,No Risk
40104,742223719.0,0,2,1,3,,halifax,479.0,No Risk
145271,471897866.0,11,6,13,8,,sportsdirect,98.47,No Risk
202743,493855007.0,23,1,31,10,,squareonix,12.99,No Risk
48461,558875206.0,9,4,10,3,,starbucks,6.0,No Risk
172935,554771381.0,18,0,25,9,,justeat,31.49,No Risk
166532,624563756.0,18,1,12,9,,fatface,99.5,No Risk
90188,632065391.0,15,2,24,5,,tesco,127.56,No Risk
34264,626989363.0,17,4,17,2,,gamestation,49.99,No Risk
41409,500843551.0,23,1,28,2,,blizzard,14.99,No Risk
120461,169006407.0,5,2,5,7,,fatface,16.02,No Risk
83554,417850087.0,9,0,8,5,,starbucks,7.5,No Risk
53100,621181115.0,8,2,22,3,,tesco,127.13,No Risk
1635,598586358.0,0,6,1,1,,xbox,7.0,No Risk
98547,555393405.0,9,3,1,6,,sportsdirect,79.98,No Risk
140780,949032480.0,18,4,4,8,,topshop,13.54,No Risk
165714,779376323.0,9,0,11,9,,ayarnstory,35.91,No Risk
226627,758160963.0,13,5,2,12,,fatface,166.6,No Risk
193131,809499628.0,18,6,22,10,,justeat,18.85,No Risk
35749,776431321.0,11,1,21,2,,blackwell's,11.98,No Risk
64942,500043411.0,8,4,7,4,,amazon,5.9,No Risk
104596,491392945.0,8,1,13,6,,tesco,24.96,No Risk
201315,939972497.0,23,1,31,10,,netflix,15.99,No Risk
38028,891716230.0,17,0,27,2,,fivesensesart,40.97,No Risk
96574,475117511.0,23,2,31,5,,blizzard,14.99,No Risk
127144,893134725.0,7,2,19,7,,sainsburylocal,71.96,No Risk
46478,616924659.0,11,6,5,3,,matalan,106.5,No Risk
148061,719586818.0,8,5,19,8,,selfridges,1.45,No Risk
48798,416060965.0,8,5,11,3,,selfridges,0.95,No Risk
24940,242218612.0,23,1,31,1,,puregym,18.99,No Risk
68046,806358207.0,20,4,14,4,,boots,39.17,No Risk
38077,308505160.0,18,0,27,2,,justeat,21.97,No Risk
146856,690958123.0,17,2,16,8,,sportsdirect,6.0,No Risk
32692,158766229.0,16,0,13,2,,fivesensesart,7.49,No Risk
106697,858989281.0,0,6,18,6,,deliveroo,6.99,No Risk
33053,234952520.0,13,1,14,2,,tesco,57.84,No Risk
144879,678330503.0,14,5,12,8,,sportsdirect,70.2,No Risk
208291,554792076.0,5,3,9,11,,revella,41.06,No Risk
37597,456246119.0,11,6,26,2,,sportsdirect,50.0,No Risk
150158,749378808.0,12,2,23,8,,topshop,201.59,No Risk
11654,842682241.0,17,3,12,1,,gamestation,59.98,No Risk
118265,494156986.0,11,5,1,7,,fatface,139.87,No Risk
177042,524425303.0,0,6,1,10,,lbg,917.0,No Risk
51353,672913754.0,18,4,17,3,,topshop,134.99,No Risk
33716,497809732.0,9,3,16,2,,revella,124.0,No Risk
120401,779946617.0,21,1,4,7,,selfridges,15.39,No Risk
59978,126929801.0,23,4,31,3,,netflix,15.99,No Risk
189470,506618547.0,14,6,15,10,,matalan,63.0,No Risk
62107,999752672.0,9,5,1,4,,sportsdirect,9.99,No Risk
138319,738958551.0,23,0,31,7,,amazon,7.99,No Risk
155671,146686559.0,0,4,1,9,,halifax,1301.0,No Risk
13420,757115616.0,9,0,16,1,,blackwell's,39.95,No Risk
60774,679911053.0,23,4,31,3,,netflix,15.99,No Risk
25462,703537476.0,23,1,31,1,,blizzard,14.99,No Risk
90828,604288474.0,10,4,26,5,,tesco,12.29,No Risk
42027,938992364.0,23,1,28,2,,xbox,7.0,No Risk
216338,496395938.0,3,4,24,11,,sainsburylocal,4.47,No Risk
161002,802697323.0,0,6,3,9,,justeat,44.08,No Risk
172309,152488934.0,13,6,24,9,,tesco,39.06,No Risk
101691,482513594.0,17,1,6,6,,reebok,43.15,No Risk
45833,511179916.0,9,5,4,3,,gamestation,59.98,No Risk
36282,683319988.0,17,2,22,2,,sportsdirect,107.98,No Risk
203530,663479159.0,9,2,1,11,,theworks,36.96,No Risk
100784,684988568.0,18,6,4,6,,matalan,25.0,No Risk
221976,252419513.0,23,3,30,11,,puregym,18.99,No Risk
169617,815385232.0,6,1,19,9,,amazon,21.8,No Risk
38932,480198977.0,10,1,28,2,,tesco,49.06,No Risk
11020,993039226.0,12,2,11,1,,fivesensesart,70.97,No Risk
145302,541639148.0,12,6,13,8,,fatface,130.89,Low Risk
16203,819515373.0,10,6,22,1,,theworks,11.98,No Risk
163976,960208650.0,9,4,8,9,,tesco,38.81,No Risk
13668,776108637.0,15,0,16,1,,gamestation,49.99,No Risk
89085,409971170.0,15,6,21,5,,wool,114.91,No Risk
151985,743630833.0,11,6,27,8,,brilliantbrushes,1.99,No Risk
217928,383833857.0,5,0,27,11,,tesco,29.69,No Risk
188441,558119802.0,5,5,14,10,,justeat,26.48,No Risk
124950,609939116.0,10,4,14,7,,sportsdirect,52.15,No Risk
145157,549414742.0,10,6,13,8,,fittedstitch,12.6,No Risk
49232,279149837.0,9,6,12,3,,matalan,25.0,No Risk
96686,837876918.0,23,2,31,5,,disney,7.99,No Risk
91545,675806859.0,7,6,28,5,,lloydspharmacy,2.73,No Risk
208493,480557476.0,10,3,9,11,,tesco,53.54,No Risk
135445,297823329.0,23,0,31,7,,netflix,15.99,No Risk
109135,514362267.0,11,4,23,6,,fivesensesart,89.97,No Risk
40534,403383649.0,0,2,1,3,,halifax,471.0,No Risk
22711,555393405.0,23,1,31,1,,puregym,18.99,No Risk
198036,473820682.0,9,1,31,10,,selfridges,41.12,No Risk
226412,405945930.0,9,5,2,12,,tesco,13.65,No Risk
63678,280990953.0,18,0,3,4,,revella,107.5,No Risk
176773,627622066.0,23,5,30,9,448004226.0,,770.0,No Risk
38997,916270283.0,10,1,28,2,,sportsdirect,9.99,No Risk
76420,586041848.0,23,6,30,4,,squareonix,12.99,No Risk
151057,688712152.0,13,4,25,8,,starbucks,5.7,No Risk
90780,143061865.0,9,4,26,5,,tesco,67.62,No Risk
143551,832564361.0,8,3,10,8,,sainsbury,64.2,No Risk
95961,782058249.0,23,2,31,5,,squareonix,12.99,No Risk
4121,941285623.0,0,6,1,1,,disney,7.99,No Risk
52875,977899503.0,14,1,21,3,,deliveroo,13.0,No Risk
40921,311467864.0,23,1,28,2,,netflix,15.99,No Risk
59371,534097839.0,23,4,31,3,,netflix,15.99,No Risk
147363,399144202.0,17,3,17,8,,amazon,16.58,No Risk
17211,472995101.0,9,1,24,1,,tesco,105.04,No Risk
105359,673025413.0,8,3,15,6,,tesco,27.07,No Risk
136446,998405607.0,23,0,31,7,,blizzard,14.99,No Risk
54565,973086490.0,12,6,26,3,,tesco,96.94,No Risk
158346,426466211.0,23,3,31,8,,puregym,18.99,No Risk
46921,170233640.0,9,0,6,3,,tesco,24.94,No Risk
219226,807714284.0,17,2,29,11,,tesco,49.98,No Risk
206112,282837512.0,9,6,5,11,,fivesensesart,6.39,No Risk
215758,229205098.0,20,2,22,11,,selfridges,27.22,No Risk
204160,949032480.0,7,3,2,11,,justeat,32.32,No Risk
44553,773633520.0,11,2,1,3,,theworks,6.99,No Risk
45573,896821055.0,13,4,3,3,,selfridges,123.5,No Risk
150426,683319988.0,6,3,24,8,,justeat,29.54,No Risk
77565,129018172.0,23,6,30,4,,blizzard,14.99,No Risk
23706,474951915.0,23,1,31,1,,squareonix,12.99,No Risk
76412,611143859.0,23,6,30,4,,disney,7.99,No Risk
168485,719586818.0,0,6,17,9,,topshop,6.64,No Risk
192077,450896297.0,2,5,21,10,,deliveroo,38.09,No Risk
48038,806358207.0,5,3,9,3,,selfridges,7.35,No Risk
61711,226703987.0,23,4,31,3,,xbox,7.0,No Risk
71826,722971557.0,9,0,24,4,,tesco,17.91,No Risk
129024,113747882.0,10,6,23,7,,sportsdirect,50.5,No Risk
32659,548907062.0,15,0,13,2,,fivesensesart,20.98,No Risk
144069,235310449.0,8,4,11,8,,tesco,33.77,No Risk
140802,854513972.0,19,4,4,8,,sainsbury,32.46,No Risk
91212,405416860.0,10,5,27,5,,tesco,119.26,No Risk
197888,282837512.0,4,1,31,10,,amazon,36.95,No Risk
188004,179173981.0,7,4,13,10,,etsy,7.0,No Risk
53367,399538448.0,8,3,23,3,,coffee#1,7.1,No Risk
160689,631111289.0,11,5,2,9,,tesco,33.65,No Risk
214544,788740658.0,10,0,20,11,,topshop,243.6,No Risk
799,955035930.0,0,6,1,1,,lbg,1347.0,No Risk
84144,865748375.0,16,1,9,5,,blackwell's,29.95,No Risk
105896,549414742.0,11,4,16,6,,topshop,146.29,No Risk
143966,489964679.0,5,4,11,8,,deliveroo,31.74,No Risk
105487,160166876.0,13,3,15,6,,revella,119.23,No Risk
109285,581618317.0,18,4,23,6,,tesco,35.69,No Risk
51943,518474507.0,10,6,19,3,,tesco,94.23,No Risk
157601,517934629.0,23,3,31,8,,netflix,15.99,No Risk
220387,585625048.0,13,3,30,11,,coffee#1,5.4,No Risk
147676,919185264.0,9,4,18,8,,theworks,33.96,No Risk
123749,133755851.0,13,1,11,7,,brilliantbrushes,8.98,No Risk
118490,165098840.0,13,5,1,7,,sportsdirect,9.99,No Risk
13683,475117511.0,16,0,16,1,,topshop,31.5,No Risk
155532,503575533.0,0,4,1,9,,lbg,965.0,No Risk
68921,130154096.0,15,6,16,4,,sainsburylocal,1.16,No Risk
200163,128030172.0,23,1,31,10,,amazon,7.99,No Risk
14730,695607232.0,18,2,18,1,,tesco,77.2,No Risk
88980,832564361.0,12,6,21,5,,tesco,22.54,No Risk
208385,586315521.0,7,3,9,11,,fatface,12.82,No Risk
186022,551755686.0,9,0,9,10,,fivesensesart,17.97,No Risk
29647,556631012.0,8,1,7,2,,fatface,43.35,No Risk
146639,687135796.0,7,2,16,8,,sainsburylocal,12.65,No Risk
205491,868377987.0,9,5,4,11,,theworks,10.98,No Risk
200872,124125096.0,23,1,31,10,,netflix,15.99,No Risk
209395,518378868.0,8,5,11,11,,tesco,20.99,No Risk
99104,315546581.0,3,4,2,6,,amazon,19.77,No Risk
127630,558875206.0,9,3,20,7,,starbucks,6.9,No Risk
85112,549414742.0,7,4,12,5,,looselyfitted,19.0,No Risk
7252,183546640.0,13,2,4,1,,starbucks,5.7,No Risk
124005,128033695.0,6,2,12,7,,sainsburylocal,25.98,Low Risk
88889,849096144.0,11,6,21,5,,sportsdirect,72.99,No Risk
205957,386729293.0,3,6,5,11,,revella,14.03,No Risk
73011,191992682.0,12,3,27,4,,tesco,139.69,No Risk
72648,287480331.0,10,2,26,4,,starbucks,5.8,No Risk
44431,903953091.0,9,2,1,3,,fivesensesart,19.99,No Risk
81698,283027736.0,10,3,4,5,,fatface,166.57,No Risk
101506,298000165.0,10,1,6,6,,sportsdirect,35.0,No Risk
58768,433837402.0,23,4,31,3,,mojangstudios,5.99,No Risk
73493,521611005.0,19,4,28,4,,amazon,29.2,No Risk
208228,500051919.0,20,2,8,11,,tesco,28.89,No Risk
42096,766941757.0,23,1,28,2,,grandunionbjj,100.0,No Risk
23195,282046994.0,23,1,31,1,,netflix,15.99,No Risk
218241,874431242.0,17,0,27,11,,blackwell's,26.84,No Risk
66786,322221939.0,14,1,11,4,,amazon,7.2,No Risk
3760,499410772.0,0,6,1,1,,mojangstudios,5.99,No Risk
138720,587225252.0,10,1,1,8,,selfridges,104.3,No Risk
14645,643610517.0,17,2,18,1,,fatface,136.49,Medium Risk
137906,403765849.0,23,0,31,7,,netflix,15.99,No Risk
200394,256045540.0,23,1,31,10,,puregym,18.99,No Risk
173591,853907490.0,4,2,27,9,,amazon,11.96,No Risk
218085,986774156.0,9,0,27,11,,theworks,15.98,No Risk
105561,155867488.0,17,3,15,6,,matalan,125.99,No Risk
195469,399144202.0,17,4,27,10,,matalan,2.5,No Risk
70770,771125520.0,17,4,21,4,,theworks,28.95,No Risk
207582,419550103.0,17,1,7,11,,sportsdirect,114.08,Low Risk
182146,165691047.0,11,0,2,10,,topshop,29.5,No Risk
169760,538003940.0,10,1,19,9,,fivesensesart,36.98,No Risk
133355,248625662.0,10,0,31,7,,sportsdirect,31.99,No Risk
225671,909676212.0,10,4,1,12,,sportsdirect,59.99,No Risk
207116,764450279.0,20,0,6,11,,tesco,37.34,No Risk
50070,890830949.0,8,1,14,3,,tesco,57.8,No Risk
145264,849096144.0,11,6,13,8,,topshop,55.29,No Risk
5420,737547541.0,14,6,1,1,,tesco,53.61,No Risk
188115,214765415.0,10,4,13,10,,fatface,173.0,No Risk
186662,977899503.0,10,1,10,10,,tesco,38.19,No Risk
43739,441274121.0,23,1,28,2,,squareonix,12.99,No Risk
225717,504055745.0,10,4,1,12,,tesco,41.04,No Risk
113003,613729471.0,17,4,30,6,,selfridges,15.03,No Risk
123779,939972497.0,15,1,11,7,,fivesensesart,1.5,No Risk
152664,195895574.0,19,0,28,8,,deliveroo,19.23,No Risk
36474,688328251.0,12,3,23,2,,sportsdirect,53.98,No Risk
166238,383345285.0,9,1,12,9,,topshop,94.5,No Risk
212900,138609932.0,17,4,17,11,,wool,20.0,No Risk
89775,285873880.0,12,1,23,5,,etsy,42.37,No Risk
20400,990894155.0,23,0,30,1,262767079.0,,540.0,No Risk
5242,890196840.0,13,6,1,1,,theworks,40.95,No Risk
26820,535804582.0,18,2,1,2,,matalan,162.0,No Risk
70817,845648250.0,19,4,21,4,,sainsbury,40.88,No Risk
156766,834581602.0,23,3,31,8,,mojangstudios,5.99,No Risk
83405,296770890.0,20,6,7,5,,deliveroo,32.54,No Risk
205646,338022396.0,11,5,4,11,,fatface,119.5,No Risk
104274,685959099.0,13,0,12,6,,fatface,220.5,No Risk
46542,506618547.0,12,6,5,3,,sportsdirect,19.99,No Risk
53573,684988568.0,17,3,23,3,,sportsdirect,86.98,No Risk
77337,890830949.0,23,6,30,4,,mojangstudios,5.99,No Risk
122256,698955014.0,14,5,8,7,,tesco,128.04,No Risk
69242,995615876.0,13,0,17,4,,matalan,110.49,No Risk
115750,625281433.0,23,4,30,6,,puregym,18.99,No Risk
69281,556992209.0,17,0,17,4,,gamestation,109.97,No Risk
46479,423208402.0,11,6,5,3,,matalan,89.5,No Risk
129617,284905540.0,11,0,24,7,,amazon,29.21,No Risk
77446,162162212.0,23,6,30,4,,netflix,15.99,No Risk
70695,346874167.0,14,4,21,4,,sainsbury,86.86,No Risk
150944,554792076.0,8,4,25,8,,lloydspharmacy,10.34,No Risk
92307,687135796.0,5,1,30,5,,revella,16.58,No Risk
107022,678330503.0,13,6,18,6,,fatface,90.3,No Risk
72920,685959099.0,8,3,27,4,,sainsburylocal,76.17,No Risk
126896,180616589.0,13,1,18,7,,sportsdirect,5.99,No Risk
11267,698076160.0,20,2,11,1,,fatface,5.02,No Risk
227508,887853850.0,4,0,4,12,,cooplocal,26.11,No Risk
154217,127809299.0,8,3,31,8,,tesco,39.06,No Risk
98600,625658193.0,9,3,1,6,,sportsdirect,30.01,No Risk
148730,913127700.0,11,6,20,8,,tesco,156.71,No Risk
159742,588565416.0,9,4,1,9,,fivesensesart,79.97,No Risk
82484,558875206.0,9,5,6,5,,sportsdirect,51.98,No Risk
106536,303843160.0,13,5,17,6,,topshop,208.6,Medium Risk
132446,376271050.0,17,6,30,7,,looselyfitted,107.45,No Risk
90091,654329190.0,9,2,24,5,,blackwell's,4.99,No Risk
33784,160166876.0,11,3,16,2,,topshop,99.73,No Risk
6438,786879739.0,21,0,2,1,,thecrown,5.9,No Risk
79864,284905540.0,23,6,30,4,,grandunionbjj,100.0,No Risk
135208,895750759.0,23,0,31,7,,amazon,7.99,No Risk
95436,639420537.0,23,2,31,5,,amazon,7.99,No Risk
146974,687135796.0,3,3,17,8,,amazon,62.29,No Risk
222342,639409800.0,23,3,30,11,,netflix,15.99,No Risk
22561,833499132.0,0,2,1,2,,halifax,837.0,No Risk
107171,550832673.0,17,6,18,6,,fivesensesart,5.99,No Risk
64934,886837068.0,7,4,7,4,627723633.0,,630.0,No Risk
114877,833499132.0,23,4,30,6,,blizzard,14.99,No Risk
47352,162162212.0,10,1,7,3,,sportsdirect,103.98,No Risk
2027,121113546.0,0,6,1,1,,xbox,7.0,No Risk
201564,337771621.0,23,1,31,10,,mojangstudios,5.99,No Risk
184457,985188462.0,13,4,6,10,,theworks,6.11,No Risk
156353,135937041.0,23,3,31,8,,netflix,15.99,No Risk
65575,631111289.0,13,5,8,4,,tesco,33.1,No Risk
158583,701070224.0,23,3,31,8,,xbox,7.0,No Risk
6320,296770890.0,18,0,2,1,,tesco,44.09,No Risk
63778,776108637.0,7,1,4,4,,starbucks,5.4,No Risk
69931,519644021.0,10,2,19,4,,hobbylobby,5.0,No Risk
30785,212560376.0,14,3,9,2,,sportsdirect,23.05,No Risk
24368,909669130.0,23,1,31,1,,xbox,7.0,No Risk
4520,117273481.0,0,6,1,1,,disney,7.99,No Risk
157294,769311479.0,23,3,31,8,,blizzard,14.99,No Risk
154727,287230540.0,17,3,31,8,,blackwell's,10.98,No Risk
225112,742223719.0,23,3,30,11,,xbox,7.0,No Risk
93414,240643705.0,10,2,31,5,,reebok,25.0,No Risk
165584,310375875.0,6,0,11,9,,sainsburylocal,17.28,No Risk
26351,891513205.0,9,2,1,2,,sportsdirect,29.99,No Risk
134871,570269025.0,23,0,31,7,,puregym,18.99,No Risk
216933,786879739.0,8,5,25,11,,tesco,49.23,No Risk
131989,618514666.0,18,5,29,7,,tesco,27.65,No Risk
30744,655730067.0,12,3,9,2,,justeat,32.4,No Risk
25782,158414827.0,23,1,31,1,,grandunionbjj,100.0,No Risk
211688,506618547.0,7,2,15,11,,looselyfitted,9.71,No Risk
204234,355733816.0,8,3,2,11,,fittedstitch,31.28,Low Risk
134769,564744955.0,0,1,1,8,,halifax,572.0,No Risk
155076,891716230.0,23,3,31,8,950234174.0,,2590.0,No Risk
48983,706250160.0,11,5,11,3,,matalan,145.6,No Risk
48538,969804197.0,12,4,10,3,,tesco,42.85,No Risk
116467,466649401.0,23,4,30,6,,amazon,7.99,No Risk
120581,364357875.0,9,2,5,7,,sainsburylocal,38.46,No Risk
46703,603721739.0,15,6,5,3,,fatface,133.66,No Risk
55475,722971557.0,12,2,29,3,,tesco,31.61,No Risk
141067,834581602.0,9,5,5,8,,sportsdirect,75.99,No Risk
89719,279149837.0,10,1,23,5,,matalan,128.8,No Risk
222787,907987693.0,23,3,30,11,,netflix,15.99,No Risk
143803,198630866.0,17,3,10,8,,sportsdirect,55.98,No Risk
97789,518466565.0,23,2,31,5,,squareonix,12.99,No Risk
69237,849096144.0,13,0,17,4,,starbucks,6.8,No Risk
35666,497809732.0,8,1,21,2,,tesco,66.75,No Risk
133444,899742927.0,11,0,31,7,,sportsdirect,12.99,No Risk
179352,448004226.0,23,5,30,9,,mojangstudios,5.99,No Risk
29847,655730067.0,13,1,7,2,,tesco,128.84,No Risk
134362,119993184.0,0,1,1,8,,lbg,1223.0,No Risk
170023,551196328.0,3,2,20,9,,boots,3.33,No Risk
30008,442070890.0,17,1,7,2,,tesco,22.54,No Risk
190323,540159353.0,9,1,17,10,,starbucks,7.15,No Risk
8683,771125520.0,10,5,7,1,,blackwell's,35.95,No Risk
116061,886837068.0,23,4,30,6,,squareonix,12.99,No Risk
186442,221868392.0,4,1,10,10,,deliveroo,28.4,No Risk
33475,570323670.0,14,2,15,2,,gamestation,49.99,No Risk
92403,985188462.0,9,1,30,5,,fivesensesart,60.82,Low Risk
84835,903953091.0,11,3,11,5,,fivesensesart,31.98,No Risk
76005,673818591.0,0,0,1,5,,lbg,469.0,No Risk
153458,905860285.0,17,2,30,8,,fatface,35.0,No Risk
228612,586315521.0,18,1,5,12,,sainsbury,4.71,No Risk
179203,329840194.0,23,5,30,9,,xbox,7.0,No Risk
71451,199016328.0,10,6,23,4,,theworks,9.99,No Risk
158483,758160963.0,23,3,31,8,,blizzard,14.99,No Risk
102143,876890798.0,17,2,7,6,,theworks,35.95,No Risk
161349,570269025.0,11,6,3,9,,looselyfitted,10.06,No Risk
63207,704517789.0,15,6,2,4,,tesco,134.25,No Risk
9648,621181115.0,9,0,9,1,,tesco,48.91,No Risk
994,851649498.0,0,6,1,1,,lbg,673.0,No Risk
145441,446720287.0,15,6,13,8,,matalan,130.99,No Risk
216658,143061865.0,18,4,24,11,,theworks,19.97,No Risk
186321,897592348.0,18,0,9,10,,matalan,221.2,Medium Risk
