Account No,total_transactions,total_payments,median_payment,mean_payment,business_interactions,user_interactions
130522384.0,12,20843.04,1736.92,1736.92,['Victoria Park'],[]
131388684.0,12,52500.0,4375.0,4375.0,['Premier Finance'],[]
132400709.0,11,4070.0,370.0,370.0,[],[340295966.0]
133755851.0,11,34848.0,3168.0,3168.0,['Matalan'],[]
134461671.0,11,41250.0,3750.0,3750.0,['Remedy plus care'],[]
134847904.0,11,45309.0,4119.0,4119.0,['Boots'],[]
135937041.0,12,23316.0,1943.0,1943.0,['Westport Care Home'],[]
136770968.0,11,6820.0,620.0,620.0,[],[787139484.0]
137822385.0,12,33276.0,2773.0,2773.0,['A Cut Above'],[]
137913631.0,12,28632.0,2602.0,2386.0,['Lloyds Pharmacy'],[310620484.0]
138351025.0,11,18425.0,1675.0,1675.0,['Sainsbury'],[]
138609932.0,4,8010.0,2105.0,2002.5,[],[874431242.0]
138969884.0,12,19152.0,1596.0,1596.0,['Westport Care Home'],[]
140893085.0,12,22999.199999999997,1916.6,1916.5999999999997,['Costa Coffee'],[]
141521177.0,11,33000.0,3000.0,3000.0,['LBG'],[]
142791593.0,13,19650.0,1625.0,1511.5384615384614,['Rose & Crown'],[719742742.0]
143003091.0,11,32098.0,2918.0,2918.0,['University College Hospital'],[]
143061865.0,11,27599.0,2509.0,2509.0,['CPA'],[]
143383029.0,12,6500.0,530.0,541.6666666666666,[],[656317661.0]
143606916.0,12,8880.0,740.0,740.0,[],[183546640.0]
145387690.0,23,26590.0,1675.0,1156.0869565217392,['The Crown'],[221868392.0]
146686559.0,12,20100.0,1675.0,1675.0,['North Face'],[]
146909202.0,23,29397.0,1270.0,1278.1304347826087,['Fitted Stitch'],[741269136.0]
147341222.0,11,4840.0,440.0,440.0,[],[843537309.0]
147474476.0,12,37500.0,3125.0,3125.0,['Premier Finance'],[]
147508204.0,12,8880.0,740.0,740.0,[],[189335192.0]
149684419.0,11,14520.0,1320.0,1320.0,[],[452974357.0]
151278285.0,15,32840.0,2000.0,2189.3333333333335,['Matalan'],[264550521.0]
151916463.0,11,18425.0,1675.0,1675.0,['Gamestation'],[]
151968462.0,12,40512.0,3376.0,3376.0,['Premier Finance'],[]
152488934.0,12,31777.199999999997,2648.1,2648.1,['Green Park Academy'],[]
152616936.0,15,15230.0,1250.0,1015.3333333333334,[],[683078800.0]
154246234.0,12,20472.0,1706.0,1706.0,['Westport Care Home'],[]
155317149.0,12,6980.0,620.0,581.6666666666666,[],[530855891.0]
155867488.0,15,13580.0,1090.0,905.3333333333334,[],[188263947.0]
158414827.0,11,20009.0,1819.0,1819.0,['Happy Days Home'],[]
158766229.0,12,5160.0,430.0,430.0,[],[534908754.0]
160166876.0,12,9720.0,810.0,810.0,[],[691789577.0]
162162212.0,15,25470.0,1675.0,1698.0,['Tesco'],[322720763.0]
162370388.0,11,18425.0,1675.0,1675.0,['Collector Cave'],[]
163470640.0,11,24904.0,2264.0,2264.0,['Vision Express'],[]
165045150.0,8,13080.0,1680.0,1635.0,[],[520418719.0]
165098840.0,13,8290.0,670.0,637.6923076923077,[],[111137699.0]
165691047.0,11,20267.5,1842.5,1842.5,['Pets at Home'],[]
166019891.0,11,32087.0,2917.0,2917.0,['LBG'],[]
168414279.0,11,7480.0,680.0,680.0,[],[565175333.0]
169006407.0,12,34440.0,2870.0,2870.0,['Pets Corner'],[]
169689461.0,11,25003.0,2273.0,2273.0,['Lloyds Pharmacy'],[]
170233640.0,6,5320.0,975.0,886.6666666666666,[],[116583583.0]
170637730.0,12,24252.0,2021.0,2021.0,['A Cut Above'],[]
172084472.0,22,34796.0,1943.0,1581.6363636363637,['Westport Care Home'],[407574996.0]
173335108.0,9,16600.0,1550.0,1844.4444444444443,[],[611143859.0]
175452235.0,13,17990.0,1310.0,1383.8461538461538,[],[835736339.0]
176922958.0,12,24252.0,2021.0,2021.0,['Barbiee Boutique'],[]
179173981.0,11,20075.0,1825.0,1825.0,['Matalan'],[]
180616589.0,12,20796.0,1733.0,1733.0,['Fat Face'],[]
183186021.0,8,12060.0,1130.0,1507.5,[],[901037631.0]
183546640.0,12,22110.0,1842.5,1842.5,['Brilliant Brushes'],[]
183888402.0,12,50004.0,4167.0,4167.0,['Fitted Stitch'],[]
184430449.0,11,28600.0,2600.0,2600.0,['Boots'],[]
187111705.0,11,36666.63,3333.33,3333.33,['Pets at Home'],[]
187541224.0,12,27600.0,2300.0,2300.0,['Green Park Academy'],[]
188263947.0,11,35430.0,3485.0,3220.909090909091,['University College Hospital'],[155867488.0]
189335192.0,12,22110.0,1842.5,1842.5,['Pets Corner'],[]
192202372.0,16,17710.0,1170.0,1106.875,[],[376271050.0]
194745206.0,12,16080.0,1340.0,1340.0,[],[899692478.0]
195895574.0,11,22231.0,2021.0,2021.0,['Head'],[]
196289502.0,11,37136.0,3376.0,3376.0,['CPA'],[]
197050303.0,11,18425.0,1675.0,1675.0,['Sainsbury'],[]
197779140.0,2,2040.0,1020.0,1020.0,[],[623156843.0]
197865285.0,12,34440.0,2870.0,2870.0,['Cass Art'],[]
198051483.0,12,18510.0,1542.5,1542.5,['Craftastic'],[]
198630866.0,5,4330.0,800.0,866.0,[],[919185264.0]
198946608.0,12,24000.0,2000.0,2000.0,['Fitted Stitch'],[]
199016328.0,12,30820.0,2800.0,2568.3333333333335,['Matalan'],[715068825.0]
200080192.0,12,33600.0,2800.0,2800.0,['Fat Face'],[]
202320275.0,11,4730.0,430.0,430.0,[],[688328251.0]
203466392.0,12,34099.92,2841.66,2841.66,['Lavender Primary'],[]
204855464.0,13,22092.6,1916.6,1699.430769230769,['Starbucks'],[284161641.0]
208381936.0,10,9880.0,1110.0,988.0,[],[254853117.0]
211493028.0,14,9000.0,680.0,642.8571428571429,[],[999752672.0]
212560376.0,15,7250.0,510.0,483.3333333333333,[],[648644594.0]
213096759.0,12,5160.0,430.0,430.0,[],[130522384.0]
213112754.0,12,34440.0,2870.0,2870.0,['Pets Corner'],[]
213930646.0,3,2100.0,720.0,700.0,[],[796709231.0]
214339619.0,12,22999.199999999997,1916.6,1916.5999999999997,['Costa Coffee'],[]
214765415.0,7,9180.0,1730.0,1311.4285714285713,[],[517190750.0]
215311171.0,12,18528.0,1544.0,1544.0,['Barbiee Boutique'],[]
215404070.0,13,10000.0,780.0,769.2307692307693,[],[768271776.0]
215426302.0,11,20267.5,1842.5,1842.5,['Cass Art'],[]
215832575.0,11,18425.0,1675.0,1675.0,['Hobby Lobby'],[]
216285378.0,12,40512.0,3376.0,3376.0,['Premier Finance'],[]
216286013.0,11,7370.0,670.0,670.0,[],[570575024.0]
218795010.0,12,18465.0,1675.0,1538.75,['Gamestation'],[364396689.0]
220183538.0,11,32670.0,2970.0,2970.0,['Hobby Lobby'],[]
221356538.0,11,18425.0,1675.0,1675.0,['Sainsbury'],[]
221868392.0,11,30470.0,2770.0,2770.0,['Hobby Lobby'],[]
223207876.0,15,19060.0,1580.0,1270.6666666666667,[],[670427480.0]
224112146.0,5,9130.0,1320.0,1826.0,[],[559995067.0]
225210798.0,13,23350.0,1842.5,1796.1538461538462,['Pets Corner'],[279149837.0]
226703987.0,12,25282.0,2292.0,2106.8333333333335,['CPA'],[856957948.0]
227104649.0,12,20100.0,1675.0,1675.0,['A Yarn Story'],[]
228136274.0,16,24007.5,1542.5,1500.46875,['Hobby Lobby'],[198946608.0]
229205098.0,12,30108.0,2509.0,2509.0,['Premier Finance'],[]
233981231.0,11,20267.5,1842.5,1842.5,['Pets at Home'],[]
234952520.0,2,3420.0,1710.0,1710.0,[],[987229118.0]
235310449.0,16,21020.0,1600.0,1313.75,[],[780463728.0]
235663459.0,16,24142.0,1596.0,1508.875,['Westport Care Home'],[679911053.0]
235881534.0,10,26000.0,2600.0,2600.0,['Lloyds Pharmacy'],[]
237493332.0,11,41239.0,3749.0,3749.0,['Halifax'],[]
237684254.0,11,18425.0,1675.0,1675.0,['Stitch By Stitch'],[]
240643705.0,14,32518.0,2918.0,2322.714285714286,['Remedy plus care'],[895750759.0]
241459011.0,12,19441.199999999997,1620.1,1620.0999999999997,['Starbucks'],[]
242218612.0,6,8970.0,1605.0,1495.0,[],[842682241.0]
245198540.0,11,18425.0,1675.0,1675.0,['Sainsbury'],[]
245690309.0,12,32496.0,2708.0,2708.0,['Premier Finance'],[]
246753533.0,11,18766.0,1706.0,1706.0,['Happy Days Home'],[]
248142083.0,11,6050.0,550.0,550.0,[],[138351025.0]
248625662.0,13,11320.0,920.0,870.7692307692307,[],[416060965.0]
248658670.0,21,17670.0,940.0,841.4285714285714,[],[121858569.0]
250895529.0,14,27140.0,2220.0,1938.5714285714287,[],[420109571.0]
250957494.0,11,8580.0,780.0,780.0,[],[331684336.0]
252419513.0,1,400.0,400.0,400.0,[],[422955974.0]
252760664.0,12,34999.2,2916.6,2916.6,['Pets Corner'],[]
254018059.0,10,2400.0,240.0,240.0,[],[817294757.0]
254853117.0,12,28500.0,2375.0,2375.0,['Fat Face'],[]
255814263.0,12,35988.0,2999.0,2999.0,['Selfridges'],[]
256002321.0,11,36663.0,3333.0,3333.0,['Boots'],[]
256045540.0,14,19581.199999999997,1620.1,1398.6571428571426,['Starbucks'],[711140907.0]
257633312.0,11,20267.5,1842.5,1842.5,['Jollyes'],[]
258201793.0,14,8350.0,570.0,596.4285714285714,[],[627936697.0]
259015404.0,24,26796.0,1116.5,1116.5,['North Face'],[146383025.0]
261793952.0,12,8400.0,700.0,700.0,[],[587202562.0]
261894284.0,6,6460.0,1080.0,1076.6666666666667,[],[527842638.0]
262767079.0,11,5940.0,540.0,540.0,[],[990894155.0]
263882093.0,12,5280.0,440.0,440.0,[],[757694047.0]
264208990.0,11,32098.0,2918.0,2918.0,['Remedy plus care'],[]
264550521.0,23,31210.0,1675.0,1356.9565217391305,['Tesco'],[151278285.0]
266777719.0,12,30240.0,2520.0,2520.0,[],[849775403.0]
270374623.0,11,34386.0,3126.0,3126.0,['University College Hospital'],[]
272538745.0,11,32082.6,2916.6,2916.6,['Jollyes'],[]
274818272.0,12,21828.0,1819.0,1819.0,['Westport Care Home'],[]
277562576.0,12,20100.0,1675.0,1675.0,['Tesco'],[]
279149837.0,13,17624.0,1544.0,1355.6923076923076,['Head'],[225210798.0]
280098744.0,18,23370.0,1230.0,1298.3333333333333,[],[660874296.0]
280130290.0,11,4620.0,420.0,420.0,[],[894576902.0]
280200287.0,7,9220.0,1010.0,1317.142857142857,[],[782013626.0]
280268430.0,11,25223.0,2293.0,2293.0,['Vision Express'],[]
280990953.0,16,9180.0,620.0,573.75,[],[668692488.0]
282046994.0,11,7150.0,650.0,650.0,[],[607629901.0]
282102606.0,14,30034.0,2472.0,2145.285714285714,['Green Park Academy'],[556631012.0]
282837512.0,11,32098.0,2918.0,2918.0,['Remedy plus care'],[]
283027736.0,14,9480.0,780.0,677.1428571428571,[],[472213568.0]
284161641.0,13,8060.0,640.0,620.0,[],[204855464.0]
284905540.0,12,32328.0,2694.0,2694.0,['Fitted Stitch'],[]
285220959.0,12,53019.0,4779.0,4418.25,['University College Hospital'],[409370545.0]
285428103.0,12,31777.199999999997,2648.1,2648.1,['Green Park Academy'],[]
285873880.0,12,23400.0,1950.0,1950.0,['A Cut Above'],[]
286484726.0,12,19125.0,1675.0,1593.75,['CeX'],[392270893.0]
287230540.0,11,25212.0,2292.0,2292.0,['Vision Express'],[]
287480331.0,23,28836.0,940.0,1253.7391304347825,['Happy Days Home'],[585596026.0]
290751280.0,12,19500.0,1625.0,1625.0,['The Crown'],[]
290818242.0,11,28600.0,2600.0,2600.0,['Boots'],[]
291580432.0,12,29664.0,2472.0,2472.0,['Green Park Academy'],[]
293191074.0,11,20163.0,1833.0,1833.0,['Matalan'],[]
293609137.0,16,6480.0,460.0,405.0,[],[696333897.0]
296770890.0,12,20855.04,1737.92,1737.92,['Lavender Fields'],[]
296972867.0,11,18425.0,1675.0,1675.0,['Hobbycraft'],[]
297823329.0,11,18425.0,1675.0,1675.0,['Hobby Lobby'],[]
298000165.0,12,50004.0,4167.0,4167.0,['Selfridges'],[]
298007503.0,11,18832.0,1712.0,1712.0,['Happy Days Home'],[]
299652176.0,12,7800.0,650.0,650.0,[],[898104045.0]
299871610.0,15,12250.0,770.0,816.6666666666666,[],[857754342.0]
300095518.0,12,5280.0,440.0,440.0,[],[957821152.0]
303843160.0,12,21900.0,1825.0,1825.0,['Selfridges'],[]
304455868.0,11,17556.0,1596.0,1596.0,['Happy Days Home'],[]
305778936.0,11,32098.0,2918.0,2918.0,['Remedy plus care'],[]
308068836.0,12,29664.0,2472.0,2472.0,['Lavender Primary'],[]
308505160.0,11,41250.0,3750.0,3750.0,['Boots'],[]
308897841.0,11,22000.0,2000.0,2000.0,['Matalan'],[]
310375875.0,21,23130.0,580.0,1101.4285714285713,['Sainsbury'],[903663593.0]
310620484.0,16,10950.0,650.0,684.375,[],[137913631.0]
310740977.0,12,12500.0,1110.0,1041.6666666666667,[],[366477356.0]
311467864.0,14,5250.0,410.0,375.0,[],[426466211.0]
314980178.0,12,34265.25,3087.75,2855.4375,['CPA'],[903953091.0]
315078351.0,12,37551.0,3331.0,3129.25,['LBG'],[701070224.0]
315546581.0,11,43879.0,3989.0,3989.0,['LBG'],[]
316793091.0,11,25245.0,2295.0,2295.0,['Vision Express'],[]
321372947.0,12,20328.0,1694.0,1694.0,['Westport Care Home'],[]
322221939.0,12,32328.0,2694.0,2694.0,['Fat Face'],[]
322720763.0,12,21852.0,1821.0,1821.0,['Premier Finance'],[]
324046160.0,12,24000.0,2000.0,2000.0,['Selfridges'],[]
324224854.0,11,32670.0,2970.0,2970.0,['Hobbycraft'],[]
329840194.0,14,21848.0,1819.0,1560.5714285714287,['Westport Care Home'],[713057426.0]
331048953.0,16,12830.0,920.0,801.875,[],[758885184.0]
331450202.0,11,33965.25,3087.75,3087.75,['CPA'],[]
331684336.0,11,21450.0,1950.0,1950.0,['Head'],[]
333054026.0,14,14640.0,1170.0,1045.7142857142858,[],[690523499.0]
335698481.0,1,1010.0,1010.0,1010.0,[],[519933553.0]
336171116.0,14,31830.0,2780.0,2273.5714285714284,['Stitch By Stitch'],[973388795.0]
336557504.0,12,34099.92,2841.66,2841.66,['Lavender Primary'],[]
338022396.0,12,24999.600000000002,2083.3,2083.3,['Kings Arms'],[]
340295966.0,11,17424.0,1584.0,1584.0,['Happy Days Home'],[]
340321732.0,12,30214.0,2694.0,2517.8333333333335,['Matalan'],[904154012.0]
344219145.0,11,30580.0,2780.0,2780.0,['Hobbycraft'],[]
344843570.0,12,7680.0,640.0,640.0,[],[138969884.0]
345514953.0,12,28842.0,2602.0,2403.5,['Lloyds Pharmacy'],[969804197.0]
345582855.0,12,18510.0,1542.5,1542.5,['Craftastic'],[]
346874167.0,12,8760.0,730.0,730.0,[],[724537117.0]
347110339.0,12,5400.0,450.0,450.0,[],[625281433.0]
348325817.0,11,45837.0,4167.0,4167.0,['Matalan'],[]
348460748.0,11,7260.0,660.0,660.0,[],[982949451.0]
348525881.0,5,9930.0,2270.0,1986.0,[],[752362502.0]
349107386.0,1,160.0,160.0,160.0,[],[343251213.0]
349614277.0,11,22913.0,2083.0,2083.0,['CPA'],[]
350921975.0,12,22110.0,1842.5,1842.5,['Brilliant Brushes'],[]
352291960.0,11,21450.0,1950.0,1950.0,['Head'],[]
352899149.0,11,16250.0,1584.0,1477.2727272727273,['Happy Days Home'],[119943495.0]
354894456.0,11,18634.0,1694.0,1694.0,['Happy Days Home'],[]
355602925.0,12,9960.0,830.0,830.0,[],[152488934.0]
355733816.0,12,28310.0,2500.0,2359.1666666666665,['Matalan'],[678330503.0]
355940285.0,14,48079.96,3333.33,3434.282857142857,['Pets Corner'],[766941757.0]
357651163.0,12,19500.0,1625.0,1625.0,['Rose & Crown'],[]
358836279.0,15,9440.0,740.0,629.3333333333334,[],[630691258.0]
358846516.0,12,36960.0,3080.0,3080.0,['Green Park Academy'],[]
361201224.0,11,41239.0,3749.0,3749.0,['Halifax'],[]
361955473.0,12,30000.0,2500.0,2500.0,['Premier Finance'],[]
364357875.0,22,30510.0,1842.5,1386.8181818181818,['Cass Art'],[833499132.0]
364396689.0,12,4940.0,420.0,411.6666666666667,[],[218795010.0]
365608668.0,11,20163.0,1833.0,1833.0,['LBG'],[]
366477356.0,11,36663.0,3333.0,3333.0,['Lloyds Pharmacy'],[]
366550080.0,12,50004.0,4167.0,4167.0,['Fat Face'],[]
370521542.0,11,52569.0,4779.0,4779.0,['University College Hospital'],[]
370757362.0,12,20100.0,1675.0,1675.0,['Craftastic'],[]
373163757.0,11,40557.0,3687.0,3687.0,['LBG'],[]
373875019.0,11,28622.0,2602.0,2602.0,['Boots'],[]
376271050.0,12,34999.2,2916.6,2916.6,['Pets Corner'],[]
380228542.0,11,20267.5,1842.5,1842.5,['Cass Art'],[]
380911501.0,13,4900.0,390.0,376.9230769230769,[],[424927189.0]
382862215.0,11,4620.0,420.0,420.0,[],[215832575.0]
383345285.0,7,2880.0,430.0,411.42857142857144,[],[535744551.0]
383625050.0,12,31777.199999999997,2648.1,2648.1,['Lavender Primary'],[]
383833857.0,11,52569.0,4779.0,4779.0,['Remedy plus care'],[]
384497904.0,12,5160.0,430.0,430.0,[],[119993184.0]
385685918.0,11,27500.0,2500.0,2500.0,[],[520239952.0]
386277162.0,11,29942.0,2722.0,2722.0,['Grand Union BJJ'],[]
386729293.0,11,61886.0,5626.0,5626.0,['Halifax'],[]
388862238.0,11,20009.0,1819.0,1819.0,['Happy Days Home'],[]
390747457.0,12,22999.199999999997,1916.6,1916.5999999999997,['Costa Coffee'],[]
391559884.0,11,7150.0,650.0,650.0,[],[386729293.0]
391688371.0,11,16967.5,1542.5,1542.5,['Hobby Lobby'],[]
392270893.0,12,24000.0,2000.0,2000.0,['Fat Face'],[]
395284483.0,11,18205.0,1655.0,1655.0,['Gamestation'],[]
398429109.0,13,32113.0,2773.0,2470.230769230769,['Head'],[961077907.0]
399144202.0,11,20163.0,1833.0,1833.0,['Fitted Stitch'],[]
399538448.0,12,20100.0,1675.0,1675.0,['Craftastic'],[]
401293808.0,12,7800.0,650.0,650.0,[],[357651163.0]
402438092.0,11,18425.0,1675.0,1675.0,['Hobbycraft'],[]
403383649.0,12,19450.0,1680.0,1620.8333333333333,['CeX'],[910730524.0]
403902116.0,12,28642.0,2602.0,2386.8333333333335,['Lloyds Pharmacy'],[433837402.0]
405416860.0,11,20267.5,1842.5,1842.5,['Pets Corner'],[]
405945930.0,11,17875.0,1625.0,1625.0,['Halifax'],[]
406862520.0,12,8040.0,670.0,670.0,[],[509627909.0]
407574996.0,24,34908.0,1454.5,1454.5,['Fat Face'],[172084472.0]
408057540.0,12,34099.92,2841.66,2841.66,['Green Park Academy'],[]
409370545.0,12,21540.0,1910.0,1795.0,[],[285220959.0]
409971170.0,11,18766.0,1706.0,1706.0,['Happy Days Home'],[]
412823730.0,12,9360.0,780.0,780.0,[],[754141345.0]
413557825.0,20,9480.0,580.0,474.0,[],[169689461.0]
414454079.0,18,28090.0,1650.0,1560.5555555555557,[],[134847904.0]
414805878.0,12,37053.0,3087.75,3087.75,['Premier Finance'],[]
416060965.0,11,25234.0,2294.0,2294.0,['Vision Express'],[]
417850087.0,11,34375.0,3125.0,3125.0,['CPA'],[]
419084831.0,12,20100.0,1675.0,1675.0,['Kings Arms'],[]
419550103.0,12,31777.199999999997,2648.1,2648.1,['Sunny Care Nursery'],[]
420109571.0,12,33360.0,2780.0,2780.0,['North Face'],[]
421475159.0,11,4290.0,390.0,390.0,[],[651372390.0]
421881811.0,11,23650.0,2150.0,2150.0,[],[930277104.0]
422955974.0,11,20267.5,1842.5,1842.5,['Brilliant Brushes'],[]
423208402.0,7,12760.0,1500.0,1822.857142857143,[],[986267641.0]
424397946.0,12,36960.0,3080.0,3080.0,['Green Park Academy'],[]
424927189.0,12,20100.0,1675.0,1675.0,['North Face'],[]
425730826.0,11,19720.0,1910.0,1792.7272727272727,[],[191631876.0]
425964226.0,12,31740.0,2780.0,2645.0,['Hobbycraft'],[587225252.0]
426466211.0,12,19441.199999999997,1620.1,1620.0999999999997,['Starbucks'],[]
427909748.0,12,19500.0,1625.0,1625.0,['Kings Arms'],[]
429235692.0,13,6210.0,520.0,477.6923076923077,[],[293191074.0]
429556122.0,13,25614.0,2264.0,1970.3076923076924,['Vision Express'],[779236304.0]
430910686.0,11,18425.0,1675.0,1675.0,['CeX'],[]
433837402.0,11,11440.0,1040.0,1040.0,[],[403902116.0]
433917275.0,12,36960.0,3080.0,3080.0,['Lavender Primary'],[]
435313070.0,12,24552.0,2046.0,2046.0,['Fat Face'],[]
435984758.0,11,24750.0,2250.0,2250.0,['LBG'],[]
441142605.0,11,12320.0,1120.0,1120.0,[],[741903302.0]
441274121.0,11,38049.0,3459.0,3459.0,['Halifax'],[]
442070890.0,12,31777.199999999997,2648.1,2648.1,['Lavender Primary'],[]
442079728.0,12,7800.0,650.0,650.0,[],[455831435.0]
444371478.0,12,5650.0,510.0,470.8333333333333,[],[834581602.0]
444428189.0,14,26396.0,2046.0,1885.4285714285713,['Matalan'],[670102069.0]
445240363.0,4,1430.0,275.0,357.5,[],[742223719.0]
446720287.0,17,12060.0,920.0,709.4117647058823,[],[574548998.0]
448004226.0,19,14120.0,770.0,743.1578947368421,[],[627622066.0]
448279144.0,12,19008.0,1584.0,1584.0,['Westport Care Home'],[]
449387287.0,16,12050.0,920.0,753.125,[],[316793091.0]
449871732.0,11,31570.0,2870.0,2870.0,['Jollyes'],[]
450896297.0,11,64163.0,5833.0,5833.0,['Halifax'],[]
452974357.0,19,29213.0,2273.0,1537.5263157894738,['Boots'],[149684419.0]
454129843.0,12,36960.0,3080.0,3080.0,['Green Park Academy'],[]
454356905.0,12,28500.0,2375.0,2375.0,['Fitted Stitch'],[]
455052690.0,13,15580.0,1280.0,1198.4615384615386,[],[630468201.0]
455831435.0,14,19891.199999999997,1620.1,1420.7999999999997,['Costa Coffee'],[442079728.0]
456221621.0,12,20100.0,1675.0,1675.0,['Tesco'],[]
456246119.0,24,32319.600000000002,1346.65,1346.65,['Kings Arms'],[489964679.0]
460463595.0,13,9850.0,710.0,757.6923076923077,[],[135937041.0]
461029994.0,11,30503.0,2773.0,2773.0,['Head'],[]
461990622.0,11,38962.0,3542.0,3542.0,['LBG'],[]
462962606.0,7,19780.0,2610.0,2825.714285714286,[],[679943657.0]
466649401.0,11,28600.0,2600.0,2600.0,['Lloyds Pharmacy'],[]
467207141.0,14,22100.0,1660.0,1578.5714285714287,['North Face'],[215311171.0]
469330905.0,12,15240.0,1270.0,1270.0,[],[920830317.0]
469561218.0,11,4290.0,390.0,390.0,[],[859264768.0]
471897866.0,12,29664.0,2472.0,2472.0,['Green Park Academy'],[]
472213568.0,12,23400.0,1950.0,1950.0,['Barbiee Boutique'],[]
472995101.0,12,39999.96,3333.33,3333.33,['Pets Corner'],[]
473820682.0,11,34386.0,3126.0,3126.0,['University College Hospital'],[]
474301748.0,3,4340.0,1320.0,1446.6666666666667,[],[519935524.0]
475117511.0,11,22000.0,2000.0,2000.0,['Fitted Stitch'],[]
475277431.0,16,29070.0,1625.0,1816.875,['Rose & Crown'],[454356905.0]
477216513.0,11,18425.0,1675.0,1675.0,['Sainsbury'],[]
478412511.0,13,32340.0,1675.0,2487.6923076923076,['Craftastic'],[143003091.0]
478651121.0,16,23170.0,1675.0,1448.125,['Tesco'],[779376323.0]
478986718.0,11,22462.0,2042.0,2042.0,['CPA'],[]
479366718.0,13,34186.0,2773.0,2629.6923076923076,['Barbiee Boutique'],[899742927.0]
479456865.0,11,34683.88,3153.08,3153.08,['Head'],[]
480198977.0,11,32098.0,2918.0,2918.0,['Remedy plus care'],[]
480557476.0,11,40216.0,3656.0,3656.0,['Grand Union BJJ'],[]
482513594.0,11,30690.0,2790.0,2790.0,['Collector Cave'],[]
486495235.0,10,28700.0,2870.0,2870.0,['Jollyes'],[]
487051121.0,12,29664.0,2472.0,2472.0,['Lavender Primary'],[]
489964679.0,12,63513.600000000006,5292.8,5292.8,['Sunny Care Nursery'],[]
490790931.0,12,19500.0,1625.0,1625.0,['Rose & Crown'],[]
490868147.0,12,8160.0,680.0,680.0,[],[154246234.0]
491392945.0,11,33965.25,3087.75,3087.75,['CPA'],[]
492058070.0,22,33504.0,1694.0,1522.909090909091,['Happy Days Home'],[492215823.0]
492215823.0,22,33385.0,1517.5,1517.5,['Stitch By Stitch'],[492058070.0]
492850697.0,13,9730.0,800.0,748.4615384615385,[],[644751433.0]
494156462.0,7,7290.0,1090.0,1041.4285714285713,[],[308068836.0]
494156986.0,11,20267.5,1842.5,1842.5,['Jollyes'],[]
494404688.0,2,910.0,455.0,455.0,[],[521611005.0]
494789005.0,12,20867.04,1738.92,1738.92,['Lavender Fields'],[]
494977194.0,11,18425.0,1675.0,1675.0,['Stitch By Stitch'],[]
496395938.0,12,34099.92,2841.66,2841.66,['Green Park Academy'],[]
496674181.0,8,6670.0,1075.0,833.75,[],[151916463.0]
496865819.0,11,7150.0,650.0,650.0,[],[466649401.0]
497772347.0,15,14810.0,1020.0,987.3333333333334,[],[674558824.0]
497809732.0,16,28610.0,1695.0,1788.125,['Fitted Stitch'],[836110591.0]
499244466.0,12,19441.199999999997,1620.1,1620.0999999999997,['Starbucks'],[]
499410772.0,12,20544.0,1712.0,1712.0,['Westport Care Home'],[]
500043411.0,12,38856.0,3238.0,3238.0,['Premier Finance'],[]
500051919.0,5,7140.0,1470.0,1428.0,[],[503575533.0]
500843551.0,13,31700.0,2870.0,2438.4615384615386,['Pets at Home'],[868099733.0]
